symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
ADBE,ALGO_ADX_28,10,9,1,1.4942,16.3090,2.7000,2.8801,3.023664060618314,0.9,2024-02-07 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-10-11T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2024-01-10T21:30:00+00:00, 2024-01-23T21:30:00+00:00, 2024-01-29T21:30:00+00:00, 2024-01-31T21:30:00+00:00, 2024-02-06T21:30:00+00:00, 2024-02-08T21:30:00+00:00]","[2023-10-13T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2024-01-22T21:30:00+00:00, 2024-01-26T21:30:00+00:00, 2024-01-30T21:30:00+00:00, 2024-02-05T21:30:00+00:00, 2024-02-07T21:30:00+00:00]","[2.0, 2.0, 2.0, 2.0, 4.0, 7.0, 3.0, 1.0, 3.0, 1.0]","[21.409999999999968, 13.139999999999986, 25.0, 23.0, 17.49000000000001, 29.57000000000005, 18.49000000000001, 14.289999999999964, 13.029999999999973, -12.330000000000041]","[3.9751944893146858, 2.539130434782606, 4.672897196261682, 4.063604240282685, 2.976970604755665, 5.050988162547196, 3.0703575164809633, 2.32089782527488, 2.101612903225802, -1.9709709389686434]",2024-02-10 18:32:49
CX,ALGO_ADX_28,9,8,1,1.3454,0.2056,3.2222,2.7460,2.7338129496402805,0.8888888888888888,2024-02-08 21:30:00+00:00,3,ADX_28_1D_STOCK_RESULTS,"[2023-11-24T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-05T21:30:00+00:00, 2023-12-13T21:30:00+00:00, 2023-12-15T21:30:00+00:00, 2024-01-17T21:30:00+00:00, 2024-01-24T21:30:00+00:00, 2024-01-29T21:30:00+00:00, 2024-02-05T21:30:00+00:00]","[2023-11-29T21:30:00+00:00, 2023-12-04T21:30:00+00:00, 2023-12-12T21:30:00+00:00, 2023-12-14T21:30:00+00:00, 2023-12-22T21:30:00+00:00, 2024-01-23T21:30:00+00:00, 2024-01-26T21:30:00+00:00, 2024-02-02T21:30:00+00:00, 2024-02-08T21:30:00+00:00]","[3.0, 2.0, 5.0, 1.0, 5.0, 4.0, 2.0, 4.0, 3.0]","[-0.03000000000000025, 0.1900000000000004, 0.1899999999999995, 0.34999999999999964, 0.23999999999999932, 0.1299999999999999, 0.5200000000000005, 0.13000000000000078, 0.13000000000000078]","[-0.4392386530014678, 2.7417027417027473, 2.7338129496402805, 4.943502824858752, 3.053435114503808, 1.771117166212533, 6.806282722513095, 1.5738498789346342, 1.5294117647058916]",2024-02-10 18:45:48
PIN,ALGO_ADX_28,7,6,1,0.7046,0.4643,10.8571,1.8744,2.798880447820869,0.8571428571428571,2024-02-02 21:30:00+00:00,9,ADX_28_1D_STOCK_RESULTS,"[2023-09-29T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-12-01T21:30:00+00:00, 2023-12-08T21:30:00+00:00, 2023-12-22T21:30:00+00:00, 2024-01-17T21:30:00+00:00, 2024-02-05T21:30:00+00:00]","[2023-10-26T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-07T21:30:00+00:00, 2023-12-15T21:30:00+00:00, 2024-01-16T21:30:00+00:00, 2024-02-02T21:30:00+00:00]","[19.0, 11.0, 11.0, 4.0, 5.0, 14.0, 12.0]","[-1.0100000000000016, 0.5199999999999996, 0.8000000000000007, 0.7299999999999969, 0.6999999999999993, 0.8900000000000006, 0.6199999999999974]","[-4.2796610169491585, 2.278702892199823, 3.392705682782022, 2.989352989352976, 2.798880447820869, 3.5205696202531667, 2.4199843871974918]",2024-02-10 19:17:03
EMMF,ALGO_ADX_28,8,7,1,0.668,0.3645,16.0000,1.5433,2.162439363659569,0.875,2024-02-07 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-06-20T21:30:00+00:00, 2023-07-18T21:30:00+00:00, 2023-08-14T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-12-05T21:30:00+00:00, 2023-12-18T21:30:00+00:00, 2024-01-24T21:30:00+00:00]","[2023-07-17T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-10-23T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-12-04T21:30:00+00:00, 2023-12-15T21:30:00+00:00, 2024-01-02T21:30:00+00:00, 2024-02-07T21:30:00+00:00]","[18.0, 7.0, 49.0, 14.0, 13.0, 8.0, 9.0, 10.0]","[0.6561999999999983, 0.5299999999999976, -0.9199999999999982, 0.5356999999999985, 0.4800000000000004, 0.46410000000000196, 0.2699999999999996, 0.8999999999999986]","[2.8763670633615988, 2.2630230572160444, -3.9621016365202335, 2.3620658485932036, 2.0618556701030943, 1.9549283909014405, 1.1170872983036806, 3.6734693877550963]",2024-02-10 18:49:52
CSTM,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,1.3325,0.2963,1.0000,1.7477,1.887338004131379,0.875,2024-01-22 21:30:00+00:00,20,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-08-16T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-10-23T21:30:00+00:00, 2023-10-26T21:30:00+00:00, 2024-01-11T21:30:00+00:00, 2024-01-17T21:30:00+00:00, 2024-01-19T21:30:00+00:00]","[2023-08-17T21:30:00+00:00, 2023-08-22T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2024-01-12T21:30:00+00:00, 2024-01-18T21:30:00+00:00, 2024-01-22T21:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.019999999999999574, 0.07000000000000028, 0.22000000000000242, 0.4200000000000017, 0.379999999999999, 0.13000000000000256, 0.5800000000000018, 0.5900000000000034]","[-0.11675423234091989, 0.40745052386496095, 1.3087447947650352, 2.663284717818654, 2.4659312134977225, 0.7092198581560424, 3.28054298642535, 3.263274336283205]",2024-02-11 00:15:18
PXI,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,0.7445,0.5217,1.3333,1.2196,0.7386568943574854,1.0,2024-02-07 21:30:00+00:00,4,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-10-05T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2024-01-11T21:30:00+00:00, 2024-02-06T21:30:00+00:00]","[2023-10-09T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2024-01-12T21:30:00+00:00, 2024-02-07T21:30:00+00:00]","[2.0, 1.0, 1.0, 2.0, 1.0, 1.0]","[1.9499999999999957, 0.259999999999998, 0.39000000000000057, 0.07000000000000028, 0.38000000000000256, 0.0799999999999983]","[4.581766917293223, 0.6003232509812929, 0.9038238702201636, 0.1679059726553137, 0.8769905377336777, 0.18674136321194745]",2024-02-11 00:46:14
ODFL,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,2.4486,4.5283,1.5000,1.1995,1.127217255530835,1.0,2024-01-19 21:30:00+00:00,23,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-10-24T21:30:00+00:00, 2023-10-26T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-07T21:30:00+00:00, 2024-01-04T21:30:00+00:00, 2024-01-18T21:30:00+00:00]","[2023-10-25T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-12-01T21:30:00+00:00, 2023-12-12T21:30:00+00:00, 2024-01-05T21:30:00+00:00, 2024-01-19T21:30:00+00:00]","[1.0, 2.0, 1.0, 3.0, 1.0, 1.0]","[1.7699999999999818, 5.980000000000018, 3.7800000000000296, 7.029999999999973, 4.300000000000011, 4.310000000000002]","[0.45532889151853, 1.619367417677648, 0.983683347646194, 1.8841628474176444, 1.1172313448347566, 1.1372031662269135]",2024-02-11 00:41:55
SHEL,ALGO_EMA_RSI_ADX_BB_CGPT,7,7,0,0.9367,0.7500,1.4286,1.1912,0.6185902653426706,1.0,2024-01-25 21:30:00+00:00,17,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-10-05T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-12-06T21:30:00+00:00, 2024-01-11T21:30:00+00:00, 2024-01-17T21:30:00+00:00, 2024-01-22T21:30:00+00:00, 2024-01-24T21:30:00+00:00]","[2023-10-06T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-12-11T21:30:00+00:00, 2024-01-12T21:30:00+00:00, 2024-01-19T21:30:00+00:00, 2024-01-23T21:30:00+00:00, 2024-01-25T21:30:00+00:00]","[1.0, 1.0, 3.0, 1.0, 2.0, 1.0, 1.0]","[1.9300000000000068, 1.8799999999999955, 0.01999999999999602, 0.3199999999999932, 0.6400000000000006, 0.0800000000000054, 0.38000000000000256]","[3.130068115471954, 2.8697908716226457, 0.0311963812197723, 0.501724678582617, 1.0554089709762544, 0.13181743285550404, 0.6185902653426706]",2024-02-11 00:50:43
FLTW,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.6787,0.3150,1.1000,0.8436,0.5011398420126046,0.9,2024-01-19 21:30:00+00:00,23,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-07-07T21:30:00+00:00, 2023-08-04T21:30:00+00:00, 2023-08-14T21:30:00+00:00, 2023-08-16T21:30:00+00:00, 2023-08-18T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-09-22T21:30:00+00:00, 2023-09-27T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2024-01-17T21:30:00+00:00]","[2023-07-10T21:30:00+00:00, 2023-08-07T21:30:00+00:00, 2023-08-15T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-28T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2024-01-19T21:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[-0.19999999999999574, 0.28000000000000114, 0.10000000000000142, 0.30000000000000426, 0.10999999999999943, 0.6099999999999994, 0.13000000000000256, 0.17999999999999972, 0.18000000000000682, 1.4600000000000009]","[-0.5291005291005179, 0.7289768289507971, 0.2705627705627744, 0.8114687584528111, 0.2993197278911549, 1.6437617892751264, 0.3564573622155266, 0.4975124378109445, 0.5047672462142648, 3.852242744063327]",2024-02-11 00:23:28
HDEF,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,1.0647,0.1362,1.3750,0.5982,0.6937341964647797,0.875,2024-02-07 21:30:00+00:00,4,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-06-26T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-08-16T21:30:00+00:00, 2023-08-18T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-09-27T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2024-02-06T21:30:00+00:00]","[2023-06-27T21:30:00+00:00, 2023-08-04T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-09-29T21:30:00+00:00, 2023-10-06T21:30:00+00:00, 2024-02-07T21:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 1.0]","[0.19000000000000128, 0.259999999999998, 0.04999999999999716, 0.1999999999999993, -0.05999999999999872, 0.28000000000000114, 0.03999999999999915, 0.129999999999999]","[0.8384819064430772, 1.131418624891201, 0.22055580061754368, 0.8912655971479468, -0.2651347768448905, 1.2383900928792622, 0.1817355747387512, 0.5489864864864823]",2024-02-11 00:27:26
