symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
MTRY,ALGO_CMO10_SMA200_RSI30,7,7,0,0.1514,5.7143,1.3914,0.8960573476702477,1.0,2023-10-12 21:30:00+00:00,1,CMO10_SMA200_RSI30_1D_STOCK_RESULTS,"[2022-11-01T21:30:00+00:00, 2022-12-19T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-08-15T21:30:00+00:00, 2023-10-10T21:30:00+00:00]","[2022-11-02T21:30:00+00:00, 2022-12-20T21:30:00+00:00, 2023-04-21T21:30:00+00:00, 2023-06-20T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-09-18T21:30:00+00:00, 2023-10-12T21:30:00+00:00]","[1.0, 1.0, 2.0, 9.0, 2.0, 23.0, 2.0]","[0.15000000000000036, 0.009999999999999787, 0.25, 0.009999999999999787, 0.4900000000000002, 0.05000000000000071, 0.09999999999999964]","[1.4705882352941213, 0.09708737864077463, 2.3474178403755865, 0.0917431192660531, 4.390681003584231, 0.44642857142857784, 0.8960573476702477]",2023-10-14 14:06:10
USCTU,ALGO_CMO10_SMA200_RSI30,7,7,0,0.1257,9.0000,1.2100,1.0387425449664904,1.0,2023-10-04 21:30:00+00:00,9,CMO10_SMA200_RSI30_1D_STOCK_RESULTS,"[2022-09-14T21:30:00+00:00, 2022-10-12T21:30:00+00:00, 2022-11-15T21:30:00+00:00, 2022-12-12T21:30:00+00:00, 2023-02-01T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-09-11T21:30:00+00:00]","[2022-09-27T21:30:00+00:00, 2022-10-21T21:30:00+00:00, 2022-11-25T21:30:00+00:00, 2022-12-16T21:30:00+00:00, 2023-02-15T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-10-04T21:30:00+00:00]","[9.0, 7.0, 7.0, 4.0, 10.0, 9.0, 17.0]","[0.07390000000000008, 0.03999999999999915, 0.16629999999999967, 0.02999999999999936, 0.1999999999999993, 0.10989999999999966, 0.2599999999999998]","[0.730959446092978, 0.3937007874015664, 1.6286995867040104, 0.2923976608187072, 1.9230769230769162, 1.0387425449664904, 2.46212121212121]",2023-10-14 14:39:38
TMUS,ALGO_EMA_RSI_ADX_BB_CGPT,12,12,0,1.6903,1.4167,1.2234,0.9284036484263334,1.0,2023-10-05 21:30:00+00:00,8,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2022-09-14T21:30:00+00:00, 2022-09-23T21:30:00+00:00, 2022-10-17T21:30:00+00:00, 2022-12-09T21:30:00+00:00, 2022-12-14T21:30:00+00:00, 2022-12-16T21:30:00+00:00, 2023-03-02T21:30:00+00:00, 2023-03-13T21:30:00+00:00, 2023-05-03T21:30:00+00:00, 2023-05-19T21:30:00+00:00, 2023-05-26T21:30:00+00:00, 2023-10-04T21:30:00+00:00]","[2022-09-15T21:30:00+00:00, 2022-09-28T21:30:00+00:00, 2022-10-18T21:30:00+00:00, 2022-12-13T21:30:00+00:00, 2022-12-15T21:30:00+00:00, 2022-12-19T21:30:00+00:00, 2023-03-03T21:30:00+00:00, 2023-03-14T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-22T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-10-05T21:30:00+00:00]","[1.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0]","[2.5200000000000102, 0.7430000000000234, 2.8600000000000136, 1.3999999999999773, 1.1899999999999977, 4.170000000000016, 1.4000000000000057, 1.210000000000008, 0.9099999999999966, 1.2199999999999989, 0.8999999999999773, 1.759999999999991]","[1.8080068876452935, 0.5556718918272282, 2.146663664339874, 0.9767669015558342, 0.845290524222189, 3.0077899596076287, 0.993824093135519, 0.8637304589906546, 0.6472722099722573, 0.8800403952968325, 0.6654835847382263, 1.2900388477607498]",2023-10-14 02:00:30
EDUT,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,0.2124,1.5000,1.1017,0.538724280390825,1.0,2023-09-28 21:30:00+00:00,15,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-05-03T21:30:00+00:00, 2023-06-26T21:30:00+00:00, 2023-08-16T21:30:00+00:00, 2023-08-18T21:30:00+00:00, 2023-09-22T21:30:00+00:00, 2023-09-27T21:30:00+00:00]","[2023-05-08T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-09-26T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[3.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[0.39000000000000057, 0.6199999999999974, 0.019999999999999574, 0.13970000000000127, 0.079699999999999, 0.02499999999999858]","[2.0440251572327073, 3.2700421940928135, 0.09828009828009618, 0.6858023691354632, 0.3916461916461867, 0.12039489525643428]",2023-10-14 00:48:48
EUFN,ALGO_EMA_RSI_ADX_BB_CGPT,8,8,0,0.2025,1.2500,1.0777,1.1503305102251593,1.0,2023-10-05 21:30:00+00:00,8,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-06-01T21:30:00+00:00, 2023-06-26T21:30:00+00:00, 2023-08-18T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-28T21:30:00+00:00, 2023-10-03T21:30:00+00:00]","[2023-06-02T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-08-22T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-29T21:30:00+00:00, 2023-10-05T21:30:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.4299999999999997, 0.17999999999999972, 0.25, 0.05999999999999872, 0.0799999999999983, 0.2699999999999996, 0.3099999999999987, 0.03999999999999915]","[2.2703273495248135, 0.9708737864077656, 1.3297872340425532, 0.3172924378635575, 0.42194092827003316, 1.4453961456102762, 1.648936170212759, 0.21703743895821564]",2023-10-14 00:52:22
FLIY,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,0.2623,1.6667,1.0297,0.9577620599609817,1.0,2023-10-05 21:30:00+00:00,8,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-05-25T21:30:00+00:00, 2023-06-01T21:30:00+00:00, 2023-08-09T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-09-27T21:30:00+00:00, 2023-10-03T21:30:00+00:00]","[2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-09-29T21:30:00+00:00, 2023-10-05T21:30:00+00:00]","[2.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[0.21000000000000085, 0.4299999999999997, 0.13800000000000168, 0.28100000000000236, 0.40000000000000213, 0.11499999999999844]","[0.8326724821570217, 1.7063492063492052, 0.5155602047297108, 1.0828516377649418, 1.5772870662460654, 0.46342937739269974]",2023-10-14 00:56:56
TINY,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,0.2940,1.8333,0.8754,0.6223655343446995,1.0,2023-09-27 21:30:00+00:00,16,EMA_RSI_ADX_BB_1D_STOCK_RESULTS,"[2023-04-26T21:30:00+00:00, 2023-08-11T21:30:00+00:00, 2023-08-16T21:30:00+00:00, 2023-09-19T21:30:00+00:00, 2023-09-21T21:30:00+00:00, 2023-09-26T21:30:00+00:00]","[2023-04-28T21:30:00+00:00, 2023-08-15T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-27T21:30:00+00:00]","[2.0, 2.0, 3.0, 1.0, 2.0, 1.0]","[0.8909999999999982, 0.3640000000000043, 0.0799999999999983, 0.0005000000000023874, 0.3253999999999948, 0.10300000000000153]","[2.810105024127159, 0.9746693086274417, 0.22160664819944123, 0.0014100991299755697, 0.9450511152416204, 0.2996799534477787]",2023-10-14 01:59:31
