symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
AEAEW,ALGO_ADX_28,16,13,3,0.0408,1.5000,48.0177,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0]","[0.0189, 0.03, 0.04000000000000001, 0.009999999999999995, 0.10300000000000001, 0.13, 0.0295, 0.0695, 0.2012, 0.0179, -0.0076999999999999985, 0.012100000000000007, -0.019499999999999997, 0.011399999999999993, -0.005099999999999993, 0.010899999999999993]","[26.58227848101266, 60.0, 66.66666666666669, 19.99999999999999, 114.44444444444446, 130.0, 14.047619047619047, 53.46153846153846, 240.38231780167263, 26.9578313253012, -10.739191073919105, 20.934256055363335, -25.86206896551724, 21.1895910780669, -7.083333333333325, 17.30158730158729]",2023-09-30 16:17:57,0.8125,ADX_28_1D_STOCK_RESULTS,2023-09-29 21:30:00+00:00,1
FAMI,ALGO_ADX_28,13,12,1,0.1285,5.8462,32.6205,"[1.0, 41.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 10.0, 1.0, 2.0, 1.0, 13.0]","[0.010000000000000009, 0.020000000000000018, 0.040000000000000036, 0.030000000000000027, 0.040000000000000036, 0.030000000000000027, 0.08999999999999997, 0.0, 0.009999999999999953, 0.040000000000000036, 0.010000000000000009, 0.010000000000000009, 1.3399999999999999]","[1.8181818181818195, 3.3333333333333366, 6.666666666666673, 4.347826086956526, 5.263157894736847, 4.28571428571429, 11.538461538461533, 0.0, 2.1739130434782505, 8.333333333333341, 2.0000000000000018, 2.0833333333333353, 372.2222222222222]",2023-09-30 16:38:21,0.9230769230769231,ADX_28_1D_STOCK_RESULTS,2023-09-25 21:30:00+00:00,5
SRZNW,ALGO_ADX_28,11,9,2,0.0163,7.1818,26.3049,"[6.0, 2.0, 1.0, 1.0, 5.0, 1.0, 5.0, 2.0, 7.0, 48.0, 1.0]","[0.0025000000000000022, 0.03950000000000001, 0.0068999999999999895, -0.004400000000000001, 0.017999999999999988, 0.0348, 0.011200000000000002, 0.019500000000000003, 0.017100000000000004, -0.008999999999999994, 0.043199999999999995]","[3.9062500000000036, 65.28925619834712, 6.93467336683416, -4.296875000000001, 17.99999999999999, 53.29249617151608, 15.555555555555559, 24.375000000000004, 19.000000000000007, -9.999999999999993, 97.29729729729728]",2023-09-30 17:13:46,0.8181818181818182,ADX_28_1D_STOCK_RESULTS,2023-09-21 21:30:00+00:00,9
LIXTW,ALGO_ADX_28,15,13,2,0.0101,11.2667,16.3413,"[3.0, 9.0, 71.0, 1.0, 31.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 40.0, 1.0]","[0.07500000000000001, 0.0050000000000000044, -0.07200000000000001, 0.0278, 0.012999999999999998, 0.0059999999999999915, -0.027999999999999997, 0.015999999999999993, 0.03330000000000001, 0.009000000000000008, 0.020000000000000004, 0.005999999999999998, 0.027999999999999997, 0.009000000000000008, 0.00399999999999999]","[60.00000000000001, 4.0000000000000036, -55.38461538461539, 53.256704980842905, 16.249999999999996, 7.142857142857133, -31.46067415730337, 27.58620689655171, 45.000000000000014, 10.112359550561807, 33.33333333333334, 10.909090909090907, 45.90163934426229, 12.676056338028182, 5.797101449275347]",2023-09-30 16:52:53,0.8666666666666667,ADX_28_1D_STOCK_RESULTS,2023-09-27 21:30:00+00:00,3
ARIZR,ALGO_ADX_28,6,5,1,0.0156,2.5000,16.1015,"[2.0, 2.0, 7.0, 1.0, 2.0, 1.0]","[0.0194, 0.016399999999999998, 0.025199999999999986, -0.002600000000000005, 0.005500000000000005, 0.03]","[24.069478908188586, 16.59919028340081, 22.909090909090896, -2.2317596566523648, 5.263157894736847, 30.0]",2023-09-30 16:21:36,0.8333333333333334,ADX_28_1D_STOCK_RESULTS,2023-09-13 21:30:00+00:00,17
QRTEB,ALGO_ADX_28,6,5,1,0.9667,2.0000,15.8235,"[4.0, 1.0, 4.0, 1.0, 1.0, 1.0]","[1.6300000000000008, 2.54, 0.9900000000000002, 0.27000000000000046, -0.02999999999999936, 0.40000000000000036]","[32.470119521912366, 35.57422969187675, 17.61565836298933, 3.9705882352941244, -0.403768506056519, 5.71428571428572]",2023-09-30 17:07:01,0.8333333333333334,ADX_28_1D_STOCK_RESULTS,2023-09-26 21:30:00+00:00,4
BDTX,ALGO_ADX_28,18,15,3,0.2783,4.0000,13.3894,"[1.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0, 2.0, 1.0, 1.0, 22.0, 2.0, 14.0, 1.0, 1.0, 12.0, 2.0, 3.0]","[0.2100000000000002, 0.13000000000000012, 0.06000000000000005, 0.1299999999999999, 0.1299999999999999, 0.20999999999999996, 0.0, 0.040000000000000036, 0.030000000000000027, 0.06999999999999984, 0.030000000000000027, 0.009999999999999787, 0.27000000000000024, 0.11000000000000032, -0.19999999999999973, 3.7099999999999995, 0.0, 0.06999999999999984]","[12.804878048780498, 6.878306878306885, 2.926829268292686, 5.829596412556049, 4.92424242424242, 12.426035502958579, 0.0, 2.2346368715083815, 1.6483516483516498, 3.763440860215045, 1.630434782608697, 0.5347593582887586, 13.705583756345192, 4.741379310344842, -8.403361344537805, 173.36448598130838, 0.0, 1.9999999999999956]",2023-09-30 16:24:13,0.8333333333333334,ADX_28_1D_STOCK_RESULTS,2023-09-06 21:30:00+00:00,24
JGGCR,ALGO_ADX_28,6,5,1,0.0187,1.3333,9.7594,"[1.0, 1.0, 1.0, 2.0, 2.0, 1.0]","[0.027600000000000013, 0.05989999999999998, 0.0050000000000000044, 0.010000000000000009, -9.999999999998899e-05, 0.010000000000000009]","[14.541622760800852, 33.25930038867295, 2.0833333333333353, 4.1666666666666705, -0.039999999999995595, 4.545454545454549]",2023-09-30 16:49:50,0.8333333333333334,ADX_28_1D_STOCK_RESULTS,2023-09-28 21:30:00+00:00,2
IMGN,ALGO_ADX_28,18,16,2,0.5806,10.1111,9.0434,"[1.0, 5.0, 3.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 18.0, 1.0, 1.0, 1.0, 1.0, 135.0, 2.0, 1.0, 3.0]","[-0.009999999999999787, -0.08999999999999986, 0.20999999999999996, 0.20999999999999996, 0.14000000000000057, 0.009999999999999787, 0.41999999999999993, 0.25, 0.22999999999999954, 0.20000000000000018, 0.0699999999999994, 0.28999999999999915, 0.7400000000000002, 0.39000000000000057, 6.220000000000001, 0.17999999999999972, 0.47000000000000064, 0.5200000000000014]","[-0.19531249999999584, -1.7175572519083944, 4.411764705882352, 3.9622641509433953, 2.641509433962275, 0.18867924528301486, 7.806691449814125, 4.266211604095563, 4.323308270676683, 3.6563071297989067, 1.2773722627737116, 5.291970802919692, 13.357400722021664, 6.393442622950829, 99.2025518341308, 1.1575562700964612, 3.2413793103448323, 3.5158891142664057]",2023-09-30 16:48:19,0.8888888888888888,ADX_28_1D_STOCK_RESULTS,2023-09-28 21:30:00+00:00,2
AEHR,ALGO_ADX_28,11,10,1,2.2964,8.0909,7.7676,"[1.0, 7.0, 3.0, 1.0, 2.0, 1.0, 48.0, 1.0, 2.0, 22.0, 1.0]","[2.369999999999999, 0.02999999999999936, -1.1700000000000017, 3.2200000000000024, 4.549999999999997, 1.7899999999999991, 2.8100000000000023, 2.3399999999999963, 1.4400000000000048, 6.210000000000001, 1.6700000000000017]","[24.739039665970765, 0.24671052631578422, -3.6792452830188735, 10.830810628994291, 14.060568603213836, 4.777155057379234, 7.289234760051887, 5.773501110288666, 3.4573829531812845, 14.285714285714288, 3.6622807017543897]",2023-09-30 16:18:19,0.9090909090909091,ADX_28_1D_STOCK_RESULTS,2023-09-29 21:30:00+00:00,1
