symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
ACLX,ALGO_ADX_28,8,8,0,1.9741,2.7288,16.0000,7.2186,6.94011449747013,1.0,2023-11-16 21:30:00+00:00,10,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-04-21T21:30:00+00:00, 2023-04-25T21:30:00+00:00, 2023-04-27T21:30:00+00:00, 2023-06-16T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[2023-04-18T21:30:00+00:00, 2023-04-20T21:30:00+00:00, 2023-04-24T21:30:00+00:00, 2023-04-26T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[11.0, 1.0, 1.0, 1.0, 10.0, 97.0, 1.0, 6.0]","[3.980000000000004, 1.7299999999999969, 3.6299999999999955, 1.6199999999999974, 2.3100000000000023, 3.8400000000000034, 0.6099999999999994, 4.109999999999999]","[12.896953985742075, 5.18274415817854, 9.986244841815669, 4.062186559679031, 5.191011235955061, 10.378378378378388, 1.3619111408796594, 8.6892177589852]",2023-11-26 01:00:33
POWL,ALGO_ADX_28,6,6,0,0.8408,2.7083,3.1667,5.7154,2.826500310431025,1.0,2023-11-15 21:30:00+00:00,11,ADX_28_1D_STOCK_RESULTS,"[2023-04-13T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-04-18T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-05-15T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[3.0, 11.0, 1.0, 1.0, 2.0, 1.0]","[1.019999999999996, 8.43, 1.1399999999999935, 0.75, 2.240000000000002, 2.6700000000000017]","[2.4823558043319442, 20.576031242372466, 2.3341523341523205, 1.4551804423748544, 4.273993512688422, 3.1706448165301055]",2023-11-26 01:49:02
CUBI,ALGO_ADX_28,7,6,1,0.7417,1.7571,4.5714,5.1096,2.0071899340922545,0.8571428571428571,2023-11-15 21:30:00+00:00,11,ADX_28_1D_STOCK_RESULTS,"[2023-09-22T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-10-19T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-06T21:30:00+00:00]","[2023-10-02T21:30:00+00:00, 2023-10-06T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-10-18T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[6.0, 3.0, 2.0, 4.0, 7.0, 3.0, 7.0]","[2.3700000000000045, 0.14000000000000057, 0.3500000000000014, 0.6699999999999946, 6.850000000000001, 2.6700000000000017, -0.75]","[7.346559206447628, 0.42839657282741916, 1.0618932038834994, 2.0071899340922545, 19.959207459207462, 6.6335403726708115, -1.669263298464278]",2023-11-26 01:14:35
DUOL,ALGO_ADX_28,9,9,0,1.2285,8.5200,9.3333,5.0828,3.946869070208735,1.0,2023-11-14 21:30:00+00:00,12,ADX_28_1D_STOCK_RESULTS,"[2023-07-06T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-15T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[2023-07-12T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-14T21:30:00+00:00, 2023-09-19T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2023-11-14T21:30:00+00:00]","[4.0, 4.0, 36.0, 2.0, 2.0, 8.0, 5.0, 22.0, 1.0]","[11.569999999999993, 4.319999999999993, 1.4899999999999807, 2.390000000000015, 6.240000000000009, 2.4499999999999886, 11.840000000000003, 25.44999999999999, 10.930000000000007]","[8.251907852506948, 2.767811378780108, 0.9460918153533435, 1.5012562814070445, 3.946869070208735, 1.4980128401100512, 7.256680558960532, 14.29775280898876, 5.278408267735552]",2023-11-26 01:17:36
XPO,ALGO_ADX_28,14,14,0,1.222,2.5314,3.3571,4.9771,4.159587611544908,1.0,2023-11-21 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-04-13T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-04-21T21:30:00+00:00, 2023-04-25T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-10-25T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-22T21:30:00+00:00]","[2023-04-03T21:30:00+00:00, 2023-04-12T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-04-20T21:30:00+00:00, 2023-04-24T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-21T21:30:00+00:00]","[1.0, 5.0, 3.0, 1.0, 1.0, 4.0, 2.0, 1.0, 14.0, 4.0, 1.0, 3.0, 3.0, 4.0]","[0.5300000000000011, 1.759999999999998, 1.240000000000002, 5.6200000000000045, 1.0400000000000063, 0.8900000000000006, 2.729999999999997, 2.260000000000005, 1.0700000000000003, 7.3300000000000125, 3.4399999999999977, 1.980000000000004, 4.689999999999998, 0.8599999999999994]","[1.6960000000000037, 5.587301587301581, 3.785103785103791, 16.661725466943388, 2.4299065420560897, 2.0644861980978906, 6.221513217866902, 4.89283394674173, 2.251683501683502, 10.345800988002841, 4.534071437986025, 2.491506228765577, 5.729293916442704, 0.988165000574514]",2023-11-26 02:09:00
TWIN,ALGO_ADX_28,15,15,0,0.8935,0.5200,7.8000,4.6970,4.315352697095432,1.0,2023-11-24 21:30:00+00:00,2,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-04-06T21:30:00+00:00, 2023-04-13T21:30:00+00:00, 2023-04-17T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-08-11T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[2023-04-03T21:30:00+00:00, 2023-04-05T21:30:00+00:00, 2023-04-12T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-07-31T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-11-16T21:30:00+00:00, 2023-11-24T21:30:00+00:00]","[1.0, 1.0, 3.0, 1.0, 10.0, 2.0, 1.0, 3.0, 17.0, 1.0, 1.0, 5.0, 8.0, 59.0, 4.0]","[0.1899999999999995, 0.019999999999999574, 0.05000000000000071, 0.43979999999999997, 2.039999999999999, 0.5400000000000009, 0.6099999999999994, 0.05000000000000071, 0.9299999999999997, 0.5199999999999996, 0.22999999999999865, 1.0, 0.6699999999999999, 0.16999999999999993, 0.33999999999999986]","[1.9668737060041357, 0.21621621621621162, 0.5458515283842873, 4.859561114671498, 21.679064824654613, 4.976958525345631, 5.322862129144847, 0.44762757385855606, 8.21554770318021, 4.315352697095432, 1.773323053199681, 7.776049766718507, 4.8515568428674865, 1.1651816312542833, 2.343211578221915]",2023-11-26 02:02:44
DKNG,ALGO_ADX_28,7,7,0,1.6506,1.3686,4.8571,4.6774,3.307193999318113,1.0,2023-11-17 21:30:00+00:00,9,ADX_28_1D_STOCK_RESULTS,"[2023-04-11T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-16T21:30:00+00:00, 2023-11-20T21:30:00+00:00]","[2023-04-13T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[2.0, 2.0, 7.0, 17.0, 1.0, 4.0, 1.0]","[0.4599999999999973, 1.0199999999999996, 0.9700000000000024, 3.3999999999999986, 0.9600000000000009, 1.6400000000000006, 1.1300000000000026]","[2.494577006507577, 5.402542372881354, 3.307193999318113, 11.071312276131549, 2.739726027397263, 4.619718309859157, 3.1069562826505437]",2023-11-26 01:16:40
SOXL,ALGO_ADX_28,15,13,2,0.9298,0.9447,7.1333,4.5896,4.523107177974444,0.8666666666666667,2023-11-24 21:30:00+00:00,2,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-15T21:30:00+00:00, 2023-11-16T21:30:00+00:00, 2023-11-20T21:30:00+00:00, 2023-11-22T21:30:00+00:00]","[2023-04-03T21:30:00+00:00, 2023-05-26T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-08-22T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-14T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-17T21:30:00+00:00, 2023-11-21T21:30:00+00:00, 2023-11-24T21:30:00+00:00]","[1.0, 37.0, 11.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 43.0, 1.0, 1.0, 1.0]","[0.360000000000003, 2.1799999999999997, 0.7399999999999984, 2.09, 2.9400000000000013, 0.9200000000000017, 1.8300000000000018, 1.1799999999999997, 0.120000000000001, -0.8599999999999994, 0.9800000000000004, 1.370000000000001, 0.09999999999999787, 0.4800000000000004, -0.26000000000000156]","[2.050113895216418, 12.199216564073865, 3.0118030118030057, 10.135790494665372, 14.03341288782817, 4.523107177974444, 8.67709815078237, 5.09279240397065, 0.505263157894741, -3.9341262580054868, 4.693486590038316, 6.450094161958574, 0.4470272686633789, 2.0788220008661775, -1.1192423590185174]",2023-11-26 01:56:52
GAMB,ALGO_ADX_28,6,6,0,0.843,0.5638,10.0000,4.5354,2.1717161279656145,1.0,2023-11-07 21:30:00+00:00,19,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-27T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-08-08T21:30:00+00:00, 2023-10-26T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[2023-04-26T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-08-07T21:30:00+00:00, 2023-08-18T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[17.0, 26.0, 2.0, 8.0, 6.0, 1.0]","[0.25, 0.08999999999999986, 0.22300000000000075, 2.040000000000001, 0.6300000000000008, 0.15000000000000036]","[2.5, 0.8814887365328095, 1.843432255931229, 15.974941268598286, 4.906542056074772, 1.1061946902654893]",2023-11-26 01:25:58
JHX,ALGO_ADX_28,9,9,0,1.5795,1.1589,7.8889,4.5326,3.3271719038816956,1.0,2023-11-17 21:30:00+00:00,9,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-18T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-20T21:30:00+00:00]","[2023-04-13T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-17T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[8.0, 16.0, 6.0, 7.0, 2.0, 8.0, 20.0, 2.0, 2.0]","[0.7199999999999989, 0.7300000000000004, 1.7200000000000024, 0.25, 0.8199999999999967, 1.3000000000000007, 2.9200000000000017, 1.370000000000001, 0.5999999999999979]","[3.3271719038816956, 3.2272325375773665, 7.429805615550766, 1.011326860841424, 3.3238751520064724, 5.02318392581144, 10.782865583456433, 4.729030031066625, 1.9392372333548735]",2023-11-26 01:34:36
RPM,ALGO_ADX_28,7,6,1,0.9395,4.1757,15.2857,4.5304,3.674157303370782,0.8571428571428571,2023-11-15 21:30:00+00:00,11,ADX_28_1D_STOCK_RESULTS,"[2023-03-31T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-06T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-04-03T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-10-05T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[1.0, 61.0, 5.0, 10.0, 3.0, 1.0, 26.0]","[2.3299999999999983, 0.8799999999999955, 3.269999999999996, 14.030000000000001, 4.840000000000003, -0.5600000000000023, 4.439999999999998]","[2.731215566756533, 0.9980719065441709, 3.674157303370782, 15.21526949354734, 5.12766182858354, -0.5707878911425973, 4.537093807480072]",2023-11-26 01:53:08
