symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
LDOS,ALGO_ADX_28,8,7,1,0.9774,3.1638,5.0000,3.3816,2.914923845325708,0.875,2023-11-17 21:30:00+00:00,30,ADX_28_1D_STOCK_RESULTS,"[2023-07-17T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-05T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-10-25T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[2023-07-26T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-10-04T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[7.0, 4.0, 2.0, 3.0, 9.0, 5.0, 2.0, 8.0]","[2.6799999999999926, 6.189999999999998, 0.5200000000000102, 3.5, -1.9599999999999937, 8.960000000000008, 2.489999999999995, 2.930000000000007]","[2.9857397504456245, 6.599147121535179, 0.5650945446642146, 3.8377192982456143, -2.076711167620252, 9.83858570330516, 2.459259259259254, 2.844107940205792]",2023-12-16 03:58:35
KRC,ALGO_ADX_28,10,9,1,1.3982,1.0510,2.2000,3.3532,3.444713079757216,0.9,2023-12-07 21:30:00+00:00,10,ADX_28_1D_STOCK_RESULTS,"[2023-06-27T21:30:00+00:00, 2023-06-29T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-11T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-11-24T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-05T21:30:00+00:00]","[2023-06-28T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-07-10T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-18T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-11-29T21:30:00+00:00, 2023-12-04T21:30:00+00:00, 2023-12-07T21:30:00+00:00]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 6.0, 3.0, 2.0, 2.0]","[1.0600000000000023, 1.1400000000000006, 0.8299999999999983, 1.370000000000001, 0.529999999999994, -0.6299999999999955, 1.1400000000000006, 2.2600000000000016, 1.8699999999999974, 0.9399999999999977]","[3.534511503834619, 3.869653767820776, 2.7602261390089735, 4.549983394221193, 1.6423923148434894, -1.8817204301075134, 3.3549146556798135, 7.448912326961113, 5.612244897959176, 2.6411913458836684]",2023-12-16 03:57:47
IESC,ALGO_ADX_28,7,6,1,0.8106,1.6657,2.1429,3.3386,2.2796352583586628,0.8571428571428571,2023-11-24 21:30:00+00:00,23,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-04-28T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-12T21:30:00+00:00, 2023-11-20T21:30:00+00:00, 2023-11-22T21:30:00+00:00]","[2023-04-27T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-05-16T21:30:00+00:00, 2023-11-21T21:30:00+00:00, 2023-11-24T21:30:00+00:00]","[4.0, 1.0, 2.0, 4.0, 2.0, 1.0, 1.0]","[-0.8900000000000006, 0.8500000000000014, 1.6200000000000045, 5.329999999999998, 0.7800000000000011, 1.5, 2.469999999999999]","[-2.046447459186021, 1.9967112990368838, 3.7113402061855774, 12.177290381539862, 1.648351648351651, 2.2796352583586628, 3.60320933625091]",2023-12-16 03:53:09
FNF,ALGO_ADX_28,11,10,1,1.2753,1.1009,3.5455,2.8121,2.8786840301576375,0.9090909090909091,2023-11-20 21:30:00+00:00,27,ADX_28_1D_STOCK_RESULTS,"[2023-07-05T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-07-31T21:30:00+00:00, 2023-10-19T21:30:00+00:00, 2023-10-23T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-10T21:30:00+00:00]","[2023-07-11T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-10-20T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-20T21:30:00+00:00]","[4.0, 2.0, 2.0, 6.0, 8.0, 1.0, 4.0, 3.0, 1.0, 2.0, 6.0]","[0.8299999999999983, 1.5, 0.6199999999999974, 0.8699999999999974, 2.1200000000000045, -1.0300000000000011, 1.2899999999999991, 1.8400000000000034, 0.6899999999999977, 2.1200000000000045, 1.259999999999998]","[2.3433088650479905, 4.0672451193058565, 1.6493748337323686, 2.2685788787483636, 5.39028731248412, -2.621532196487659, 3.4390829112236716, 4.759441282979834, 1.6428571428571375, 5.115830115830127, 2.8786840301576375]",2023-12-16 03:45:54
SMIN,ALGO_ADX_28,7,7,0,5.2005,1.6218,8.5714,2.8040,2.6880750496121273,1.0,2023-12-01 21:30:00+00:00,16,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-16T21:30:00+00:00, 2023-12-04T21:30:00+00:00]","[2023-05-01T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-12-01T21:30:00+00:00]","[6.0, 19.0, 6.0, 4.0, 9.0, 6.0, 10.0]","[1.8500000000000014, 1.4127999999999972, 0.980000000000004, 1.490000000000002, 2.0, 1.8800000000000026, 1.7399999999999949]","[3.6153996482313886, 2.6789438953907245, 1.8037916436591275, 2.6880750496121273, 3.2351989647363313, 2.9559748427672994, 2.6508226691041967]",2023-12-16 04:16:25
EPI,ALGO_ADX_28,7,6,1,1.3156,0.8929,13.2857,2.5703,3.4653465346534587,0.8571428571428571,2023-12-05 21:30:00+00:00,12,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-10-04T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2023-11-28T21:30:00+00:00, 2023-12-06T21:30:00+00:00]","[2023-05-01T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-27T21:30:00+00:00, 2023-12-05T21:30:00+00:00]","[6.0, 30.0, 17.0, 17.0, 8.0, 10.0, 5.0]","[1.1400000000000006, 1.2800000000000011, 1.1899999999999977, -0.6700000000000017, 0.8599999999999994, 0.9200000000000017, 1.5300000000000011]","[3.5547240411599645, 3.865901540320148, 3.4653465346534587, -1.835616438356169, 2.3942093541202656, 2.5006795324816573, 4.046548532134358]",2023-12-16 03:42:15
SPNS,ALGO_ADX_28,9,8,1,1.2801,0.5744,3.2222,2.4533,2.5368248772503987,0.8888888888888888,2023-12-14 21:30:00+00:00,3,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-03T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-15T21:30:00+00:00, 2023-05-19T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-05T21:30:00+00:00, 2023-12-15T21:30:00+00:00]","[2023-04-28T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-12T21:30:00+00:00, 2023-05-18T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-12-04T21:30:00+00:00, 2023-12-14T21:30:00+00:00]","[5.0, 1.0, 1.0, 1.0, 3.0, 3.0, 6.0, 2.0, 7.0]","[-0.4200000000000017, 0.38000000000000256, 0.8200000000000003, 0.9299999999999997, 0.7899999999999991, 0.38000000000000256, 0.6199999999999974, 0.5599999999999987, 1.1099999999999994]","[-2.0507812500000084, 1.8943170488534524, 3.7962962962962976, 4.279797514956281, 3.5142348754448363, 1.630201630201641, 2.5368248772503987, 2.202989771833197, 4.275808936825884]",2023-12-16 04:17:58
SPHQ,ALGO_ADX_28,7,6,1,0.9456,1.1386,14.0000,2.3185,3.062848050914875,0.8571428571428571,2023-12-13 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-20T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-16T21:30:00+00:00, 2023-12-14T21:30:00+00:00]","[2023-06-05T21:30:00+00:00, 2023-06-16T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-10-27T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-12-13T21:30:00+00:00]","[30.0, 8.0, 17.0, 14.0, 4.0, 7.0, 18.0]","[1.240000000000002, 1.8699999999999974, 1.480000000000004, -1.6899999999999977, 1.9199999999999946, 1.5399999999999991, 1.6099999999999994]","[2.6006711409396015, 3.848528503807362, 2.9808660624370673, -3.3725803232887603, 3.9834024896265445, 3.062848050914875, 3.125606678314889]",2023-12-16 04:17:13
FLIN,ALGO_ADX_28,7,6,1,1.0936,0.6743,10.4286,2.2369,3.0732860520094567,0.8571428571428571,2023-12-06 21:30:00+00:00,11,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-10-25T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-30T21:30:00+00:00, 2023-12-07T21:30:00+00:00]","[2023-05-01T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-16T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-29T21:30:00+00:00, 2023-12-06T21:30:00+00:00]","[6.0, 22.0, 9.0, 9.0, 9.0, 14.0, 4.0]","[0.870000000000001, 0.7800000000000011, 0.9100000000000001, -0.7900000000000027, 0.6699999999999982, 1.1699999999999982, 1.1099999999999994]","[3.108252947481247, 2.7045769764216407, 3.0732860520094567, -2.467207995003131, 2.173913043478255, 3.6990199177995517, 3.366696997270244]",2023-12-16 03:45:24
IETC,ALGO_ADX_28,8,7,1,0.9306,1.1260,7.5000,2.1291,2.782683551676542,0.875,2023-12-13 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-04-21T21:30:00+00:00, 2023-05-17T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-13T21:30:00+00:00, 2023-10-23T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-22T21:30:00+00:00]","[2023-05-16T21:30:00+00:00, 2023-05-19T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-10-20T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-21T21:30:00+00:00, 2023-12-13T21:30:00+00:00]","[17.0, 2.0, 3.0, 5.0, 9.0, 5.0, 5.0, 14.0]","[1.1600000000000037, 1.3800000000000026, 1.4600000000000009, -1.9100000000000037, 2.2480000000000047, 1.740000000000002, 1.1099999999999994, 1.8200000000000003]","[2.4962341295459516, 2.8636646607179967, 2.701702442635087, -3.4532634243355695, 4.282557342071182, 3.1464737793851754, 1.918755401901468, 3.0769230769230775]",2023-12-16 03:52:43
