symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
AKRO,ALGO_ADX_28,8,7,1,1.4597,0.3406,2.3750,1.5455,1.8391756772468324,0.875,2024-01-02 16:00:00+00:00,5,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-13T19:00:00+00:00, 2023-12-21T19:30:00+00:00, 2023-12-22T14:30:00+00:00, 2023-12-22T15:30:00+00:00, 2023-12-22T17:30:00+00:00, 2023-12-22T21:00:00+00:00, 2023-12-29T21:00:00+00:00, 2024-01-02T15:30:00+00:00]","[2023-12-13T19:30:00+00:00, 2023-12-21T21:00:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-22T17:00:00+00:00, 2023-12-22T20:30:00+00:00, 2023-12-26T15:00:00+00:00, 2024-01-02T15:00:00+00:00, 2024-01-02T16:00:00+00:00]","[1.0, 3.0, 1.0, 3.0, 6.0, 2.0, 2.0, 1.0]","[0.5199999999999996, 0.35999999999999943, 0.46000000000000085, 0.23000000000000043, 0.23999999999999844, 0.48999999999999844, 0.6050000000000004, -0.17999999999999972]","[2.6943005181347126, 1.6393442622950793, 2.0390070921985854, 1.0021786492374747, 1.04529616724738, 2.123970524490674, 2.5876817792985474, -0.7679180887372001]",2024-01-03 07:39:48
NMRK,ALGO_ADX_28,8,7,1,0.7605,0.1281,3.5000,1.3844,1.0966819187660866,0.875,2023-12-14 16:00:00+00:00,24,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-11T19:30:00+00:00, 2023-12-12T15:30:00+00:00, 2023-12-12T19:00:00+00:00, 2023-12-13T15:00:00+00:00, 2023-12-13T17:00:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-14T14:30:00+00:00, 2023-12-14T15:30:00+00:00]","[2023-12-12T15:00:00+00:00, 2023-12-12T18:30:00+00:00, 2023-12-13T14:30:00+00:00, 2023-12-13T16:30:00+00:00, 2023-12-13T19:30:00+00:00, 2023-12-13T21:00:00+00:00, 2023-12-14T15:00:00+00:00, 2023-12-14T16:00:00+00:00]","[5.0, 6.0, 5.0, 3.0, 5.0, 2.0, 1.0, 1.0]","[-0.09500000000000064, 0.09500000000000064, 0.005000000000000782, 0.09500000000000064, 0.2550000000000008, 0.05000000000000071, 0.504999999999999, 0.11500000000000021]","[-1.0801591813530487, 1.0957324106113107, 0.05685048322911634, 1.0976314269208625, 2.914285714285723, 0.5399568034557313, 5.276907001044921, 1.174068402246046]",2024-01-03 08:24:21
BX,ALGO_ADX_28,6,6,0,1.6329,1.5942,16.3333,1.3095,1.111648168931734,1.0,2023-12-29 14:30:00+00:00,9,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-11T17:00:00+00:00, 2023-12-13T16:30:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-21T16:30:00+00:00, 2023-12-22T15:30:00+00:00, 2023-12-27T18:00:00+00:00]","[2023-12-13T16:00:00+00:00, 2023-12-13T19:30:00+00:00, 2023-12-13T21:00:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-27T17:30:00+00:00, 2023-12-29T14:30:00+00:00]","[26.0, 6.0, 2.0, 11.0, 32.0, 21.0]","[0.8599999999999994, 2.299999999999997, 1.5300000000000011, 3.3499999999999943, 1.2199999999999989, 0.3050000000000068]","[0.7625465508068802, 2.0332390381895307, 1.294197259346981, 2.608120207092526, 0.9290990785164868, 0.23007581186588227]",2024-01-03 07:48:31
DISH,ALGO_ADX_28,8,7,1,0.792,0.0592,2.8750,1.3079,1.3285101665742804,0.875,2023-12-22 18:00:00+00:00,16,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-13T14:30:00+00:00, 2023-12-13T15:30:00+00:00, 2023-12-13T17:00:00+00:00, 2023-12-13T19:00:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-14T14:30:00+00:00, 2023-12-21T18:00:00+00:00, 2023-12-22T15:30:00+00:00]","[2023-12-13T15:00:00+00:00, 2023-12-13T16:30:00+00:00, 2023-12-13T18:30:00+00:00, 2023-12-13T19:30:00+00:00, 2023-12-13T21:00:00+00:00, 2023-12-14T15:00:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-22T18:00:00+00:00]","[1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 8.0, 5.0]","[-0.09499999999999975, 0.054999999999999716, 0.054999999999999716, 0.1349999999999998, 0.020000000000000462, 0.15499999999999936, 0.08999999999999986, 0.05900000000000016]","[-2.2565320665083077, 1.3317191283292908, 1.32530120481927, 3.214285714285709, 0.45146726862303527, 3.3622559652928277, 1.8442622950819645, 1.1907164480322938]",2024-01-03 07:56:53
SOFI,ALGO_ADX_28,7,6,1,0.8191,0.1071,2.1429,1.3044,1.5151515151515242,0.8571428571428571,2023-12-14 14:30:00+00:00,24,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-12T18:00:00+00:00, 2023-12-12T20:00:00+00:00, 2023-12-13T15:30:00+00:00, 2023-12-13T16:30:00+00:00, 2023-12-13T18:00:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-13T21:00:00+00:00]","[2023-12-12T19:30:00+00:00, 2023-12-13T15:00:00+00:00, 2023-12-13T16:00:00+00:00, 2023-12-13T17:30:00+00:00, 2023-12-13T19:30:00+00:00, 2023-12-13T20:30:00+00:00, 2023-12-14T14:30:00+00:00]","[3.0, 4.0, 1.0, 2.0, 3.0, 1.0, 1.0]","[0.054999999999999716, 0.015000000000000568, 0.14500000000000046, -0.09499999999999975, 0.34499999999999886, 0.13000000000000078, 0.15499999999999936]","[0.6988564167725504, 0.189274447949534, 1.842439644218557, -1.1882426516572826, 4.3423536815607156, 1.5151515151515242, 1.7308766052484574]",2024-01-03 08:38:42
SF,ALGO_ADX_28,7,6,1,1.2399,0.8399,7.0000,1.2713,1.3039117352056149,0.8571428571428571,2023-12-26 15:30:00+00:00,12,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-12T15:00:00+00:00, 2023-12-13T16:00:00+00:00, 2023-12-13T19:00:00+00:00, 2023-12-13T20:30:00+00:00, 2023-12-14T15:30:00+00:00, 2023-12-21T19:00:00+00:00, 2023-12-22T15:30:00+00:00]","[2023-12-13T15:30:00+00:00, 2023-12-13T18:30:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-14T15:00:00+00:00, 2023-12-14T17:30:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-26T15:30:00+00:00]","[15.0, 5.0, 2.0, 3.0, 4.0, 6.0, 14.0]","[0.8449999999999989, -0.5430000000000064, 1.0, 1.8900000000000006, 0.8299999999999983, 1.0919999999999987, 0.7650000000000006]","[1.3039117352056149, -0.8313811951678937, 1.546551190844417, 2.895220588235295, 1.2464333984081668, 1.621380846325165, 1.117196056955094]",2024-01-03 08:36:15
HTGC,ALGO_ADX_28,6,6,0,7.1602,0.1942,11.6667,1.2152,1.1650172563344787,1.0,2023-12-27 15:00:00+00:00,11,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-11T17:00:00+00:00, 2023-12-13T20:30:00+00:00, 2023-12-14T15:30:00+00:00, 2023-12-21T19:30:00+00:00, 2023-12-22T15:30:00+00:00, 2023-12-26T16:30:00+00:00, 2024-01-02T18:00:00+00:00]","[2023-12-13T20:00:00+00:00, 2023-12-14T15:00:00+00:00, 2023-12-14T16:30:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-26T16:00:00+00:00, 2023-12-27T15:00:00+00:00]","[34.0, 3.0, 2.0, 5.0, 15.0, 11.0]","[0.20800000000000018, 0.23599999999999888, 0.19000000000000128, 0.18499999999999872, 0.16600000000000037, 0.17999999999999972]","[1.3481107006286874, 1.5138879979472633, 1.1912225705329234, 1.1388119421360339, 1.012256844929571, 1.0869565217391288]",2024-01-03 08:10:33
PFE,ALGO_ADX_28,7,6,1,0.9558,0.3410,7.8571,1.2034,0.8550400461793719,0.8571428571428571,2024-01-02 18:00:00+00:00,5,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-18T18:00:00+00:00, 2023-12-18T20:00:00+00:00, 2023-12-19T15:30:00+00:00, 2023-12-27T16:00:00+00:00, 2023-12-28T16:00:00+00:00, 2024-01-02T15:30:00+00:00, 2024-01-02T16:30:00+00:00]","[2023-12-18T19:30:00+00:00, 2023-12-19T15:00:00+00:00, 2023-12-19T18:00:00+00:00, 2023-12-28T15:30:00+00:00, 2024-01-02T15:00:00+00:00, 2024-01-02T16:00:00+00:00, 2024-01-02T18:00:00+00:00]","[3.0, 4.0, 5.0, 13.0, 26.0, 1.0, 3.0]","[-0.22100000000000009, 0.8679999999999986, 0.23699999999999832, 0.18999999999999773, 0.764999999999997, 0.21799999999999997, 0.3299999999999983]","[-0.8180034792908173, 3.2343406491038436, 0.8550400461793719, 0.6625980819529127, 2.656711234589328, 0.7283175197113457, 1.1046025104602453]",2024-01-03 08:29:08
BNH,ALGO_ADX_28,7,6,1,1.3349,0.1886,5.5714,1.1566,1.4081173825582742,0.8571428571428571,2024-01-02 21:00:00+00:00,5,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-13T16:30:00+00:00, 2023-12-13T20:00:00+00:00, 2023-12-14T14:30:00+00:00, 2023-12-14T17:00:00+00:00, 2023-12-28T20:30:00+00:00, 2023-12-29T19:00:00+00:00, 2024-01-02T15:30:00+00:00]","[2023-12-13T19:30:00+00:00, 2023-12-13T21:00:00+00:00, 2023-12-14T16:30:00+00:00, 2023-12-14T20:30:00+00:00, 2023-12-29T18:00:00+00:00, 2024-01-02T15:00:00+00:00, 2024-01-02T21:00:00+00:00]","[5.0, 2.0, 3.0, 7.0, 7.0, 6.0, 9.0]","[0.26900000000000013, 0.3349999999999973, 0.35999999999999943, 0.00999999999999801, 0.11700000000000088, -0.009000000000000341, 0.23799999999999955]","[1.7121761822926618, 2.085278555866774, 2.193784277879338, 0.059523809523797676, 0.6901433374624013, -0.05287896592244619, 1.4081173825582742]",2024-01-03 07:46:41
ARLP,ALGO_ADX_28,6,6,0,3.8738,0.2265,7.8333,1.1469,1.1625267742578633,1.0,2023-12-27 14:30:00+00:00,11,ADX_28_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-12-18T19:00:00+00:00, 2023-12-19T16:30:00+00:00, 2023-12-19T18:30:00+00:00, 2023-12-21T20:00:00+00:00, 2023-12-22T15:30:00+00:00, 2023-12-26T16:30:00+00:00]","[2023-12-19T16:00:00+00:00, 2023-12-19T18:00:00+00:00, 2023-12-20T15:00:00+00:00, 2023-12-22T15:00:00+00:00, 2023-12-26T16:00:00+00:00, 2023-12-27T14:30:00+00:00]","[8.0, 3.0, 7.0, 4.0, 15.0, 10.0]","[0.14999999999999858, 0.21999999999999886, 0.30400000000000205, 0.28500000000000014, 0.240000000000002, 0.16000000000000014]","[0.7716049382715976, 1.1190233977619475, 1.5379945360720535, 1.455566905005108, 1.206030150753779, 0.7912957467853617]",2024-01-03 07:42:13
