symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
ZGN,ALGO_ADX_28,11,10,1,0.6164,0.1586,2.9091,1.4100,0.7065473386716843,0.9090909090909091,2024-01-31 15:00:00+00:00,18,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-25T16:00:00+00:00, 2024-01-25T17:00:00+00:00, 2024-01-25T18:00:00+00:00, 2024-01-25T20:00:00+00:00, 2024-01-26T14:30:00+00:00, 2024-01-26T15:30:00+00:00, 2024-01-26T16:30:00+00:00, 2024-01-26T17:30:00+00:00, 2024-01-29T17:30:00+00:00, 2024-01-29T20:30:00+00:00, 2024-01-30T15:30:00+00:00]","[2024-01-25T16:30:00+00:00, 2024-01-25T17:30:00+00:00, 2024-01-25T19:30:00+00:00, 2024-01-25T21:00:00+00:00, 2024-01-26T15:00:00+00:00, 2024-01-26T16:00:00+00:00, 2024-01-26T17:00:00+00:00, 2024-01-26T18:00:00+00:00, 2024-01-29T20:00:00+00:00, 2024-01-30T15:00:00+00:00, 2024-01-31T15:00:00+00:00]","[1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 3.0, 13.0]","[0.07500000000000107, -0.010000000000001563, 0.06500000000000128, 0.07499999999999929, 0.25, 0.0600000000000005, 0.10999999999999943, 0.04499999999999993, 0.02499999999999858, 0.08999999999999986, 0.9599999999999991]","[0.71360608943864, -0.0940733772342574, 0.6146572104019035, 0.7065473386716843, 2.2935779816513757, 0.5263157894736885, 0.9725906277630364, 0.3952569169960468, 0.21881838074397003, 0.7853403141361244, 8.376963350785331]",2024-02-14 08:59:11
TUR,ALGO_ADX_28,6,6,0,1.5803,0.3642,9.3333,1.0406,0.9560931732926472,1.0,2024-02-09 15:00:00+00:00,9,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-23T18:30:00+00:00, 2024-01-24T15:00:00+00:00, 2024-01-24T16:00:00+00:00, 2024-01-25T15:30:00+00:00, 2024-02-07T16:30:00+00:00, 2024-02-08T15:00:00+00:00]","[2024-01-24T14:30:00+00:00, 2024-01-24T15:30:00+00:00, 2024-01-25T15:00:00+00:00, 2024-01-26T15:00:00+00:00, 2024-02-08T14:30:00+00:00, 2024-02-09T15:00:00+00:00]","[6.0, 1.0, 12.0, 13.0, 10.0, 14.0]","[0.6159999999999997, 0.060000000000002274, 0.14000000000000057, 0.6609999999999943, 0.3780000000000001, 0.3299999999999983]","[1.8347530827425975, 0.1749781277340399, 0.40733197556008316, 1.9143328796084282, 1.0246123820882578, 0.8875739644970367]",2024-02-14 08:51:33
SPRX,ALGO_ADX_28,6,6,0,1.2551,0.2420,3.3333,1.0272,0.7095559293739047,1.0,2024-02-08 15:00:00+00:00,10,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-26T18:00:00+00:00, 2024-01-26T20:30:00+00:00, 2024-01-29T15:30:00+00:00, 2024-01-29T20:00:00+00:00, 2024-01-29T21:00:00+00:00, 2024-02-07T20:00:00+00:00]","[2024-01-26T20:00:00+00:00, 2024-01-29T15:00:00+00:00, 2024-01-29T19:30:00+00:00, 2024-01-29T20:30:00+00:00, 2024-01-30T14:30:00+00:00, 2024-02-08T15:00:00+00:00]","[3.0, 3.0, 8.0, 1.0, 1.0, 4.0]","[0.08999999999999986, 0.2699999999999996, 0.1720000000000006, 0.16000000000000014, 0.09999999999999787, 0.6600000000000001]","[0.39318479685452096, 1.1780104712041866, 0.7382607949180213, 0.6808510638297879, 0.4217629692112942, 2.751146310962902]",2024-02-14 08:46:14
SF,ALGO_ADX_28,9,8,1,0.6227,0.5858,4.4444,0.8118,0.5704430883523572,0.8888888888888888,2024-02-12 20:00:00+00:00,6,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-23T17:00:00+00:00, 2024-01-23T20:30:00+00:00, 2024-01-24T15:30:00+00:00, 2024-01-24T16:30:00+00:00, 2024-02-08T18:30:00+00:00, 2024-02-08T20:00:00+00:00, 2024-02-09T15:30:00+00:00, 2024-02-09T21:00:00+00:00, 2024-02-12T15:30:00+00:00]","[2024-01-23T20:00:00+00:00, 2024-01-24T15:00:00+00:00, 2024-01-24T16:00:00+00:00, 2024-01-24T18:00:00+00:00, 2024-02-08T19:30:00+00:00, 2024-02-09T15:00:00+00:00, 2024-02-09T20:30:00+00:00, 2024-02-12T15:00:00+00:00, 2024-02-12T20:00:00+00:00]","[6.0, 3.0, 1.0, 3.0, 2.0, 4.0, 10.0, 2.0, 9.0]","[0.30000000000001137, 3.0549999999999926, 0.12000000000000455, 0.47700000000000387, 0.4300000000000068, 0.19499999999999318, 0.47999999999998977, 0.5949999999999989, -0.38000000000000966]","[0.4262574595055575, 4.325969980175577, 0.16346546791990813, 0.6418796172944221, 0.5704430883523572, 0.25695084991434075, 0.6321612011062685, 0.7798165137614664, -0.49114643918832834]",2024-02-14 08:43:22
MRUS,ALGO_ADX_28,13,13,0,2.2392,0.2912,1.4615,0.8021,0.8403361344537735,1.0,2024-02-07 21:00:00+00:00,11,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-05T18:30:00+00:00, 2024-02-05T19:30:00+00:00, 2024-02-05T20:30:00+00:00, 2024-02-06T14:30:00+00:00, 2024-02-06T16:30:00+00:00, 2024-02-06T17:30:00+00:00, 2024-02-06T18:30:00+00:00, 2024-02-06T20:00:00+00:00, 2024-02-06T21:00:00+00:00, 2024-02-07T15:30:00+00:00, 2024-02-07T16:30:00+00:00, 2024-02-07T18:30:00+00:00, 2024-02-07T20:30:00+00:00]","[2024-02-05T19:00:00+00:00, 2024-02-05T20:00:00+00:00, 2024-02-05T21:00:00+00:00, 2024-02-06T15:00:00+00:00, 2024-02-06T17:00:00+00:00, 2024-02-06T18:00:00+00:00, 2024-02-06T19:30:00+00:00, 2024-02-06T20:30:00+00:00, 2024-02-07T15:00:00+00:00, 2024-02-07T16:00:00+00:00, 2024-02-07T18:00:00+00:00, 2024-02-07T20:00:00+00:00, 2024-02-07T21:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 3.0, 1.0]","[0.4399999999999977, 0.21000000000000085, 0.3049999999999997, 0.2750000000000057, 0.29999999999999716, 0.0799999999999983, 0.0899999999999963, 0.13000000000000256, 0.44999999999999574, 0.35999999999999943, 0.25500000000000256, 0.4100000000000037, 0.4799999999999969]","[1.2394366197183033, 0.5839822024471659, 0.8489909533750863, 0.7613510520487423, 0.8403361344537735, 0.22246941045605756, 0.2510460251045922, 0.3610108303249169, 1.2441249654409614, 0.9931034482758606, 0.6968165049870271, 1.1078087003512664, 1.2769353551476372]",2024-02-14 08:27:54
MOR,ALGO_ADX_28,8,8,0,1.8373,0.0831,1.0000,0.7598,0.6972250463368117,1.0,2024-02-05 14:30:00+00:00,13,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-31T19:30:00+00:00, 2024-01-31T20:30:00+00:00, 2024-02-01T14:30:00+00:00, 2024-02-01T15:30:00+00:00, 2024-02-01T16:30:00+00:00, 2024-02-01T17:30:00+00:00, 2024-02-01T18:30:00+00:00, 2024-02-02T21:00:00+00:00]","[2024-01-31T20:00:00+00:00, 2024-01-31T21:00:00+00:00, 2024-02-01T15:00:00+00:00, 2024-02-01T16:00:00+00:00, 2024-02-01T17:00:00+00:00, 2024-02-01T18:00:00+00:00, 2024-02-01T19:00:00+00:00, 2024-02-05T14:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.05999999999999872, 0.02999999999999936, 0.16999999999999993, 0.08000000000000007, 0.08999999999999986, 0.02999999999999936, 0.07499999999999929, 0.129999999999999]","[0.5736137667303892, 0.2862595419847267, 1.5697137580794083, 0.7292616226071109, 0.8108108108108096, 0.26690391459074164, 0.6651884700665125, 1.176470588235285]",2024-02-14 08:27:36
IDMO,ALGO_ADX_28,6,6,0,2.3258,0.2608,14.3333,0.6912,0.6088560472346423,1.0,2024-02-12 18:00:00+00:00,6,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-26T20:00:00+00:00, 2024-01-29T21:00:00+00:00, 2024-02-05T16:00:00+00:00, 2024-02-05T20:30:00+00:00, 2024-02-07T16:30:00+00:00, 2024-02-09T19:30:00+00:00]","[2024-01-29T20:30:00+00:00, 2024-01-31T15:00:00+00:00, 2024-02-05T20:00:00+00:00, 2024-02-07T16:00:00+00:00, 2024-02-09T19:00:00+00:00, 2024-02-12T18:00:00+00:00]","[13.0, 13.0, 5.0, 17.0, 29.0, 9.0]","[0.240000000000002, 0.4939999999999998, 0.15899999999999892, 0.2700000000000031, 0.18200000000000216, 0.21999999999999886]","[0.6423982869379069, 1.312782354504384, 0.42315369261476754, 0.7150423728813643, 0.47872060602872896, 0.5753138075313777]",2024-02-14 08:16:36
GINN,ALGO_ADX_28,7,7,0,3.2492,0.3311,5.8571,0.6246,0.6271059528266583,1.0,2024-02-12 15:30:00+00:00,6,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-05T21:00:00+00:00, 2024-02-06T16:00:00+00:00, 2024-02-07T14:30:00+00:00, 2024-02-07T19:30:00+00:00, 2024-02-08T20:00:00+00:00, 2024-02-09T16:30:00+00:00, 2024-02-09T20:00:00+00:00]","[2024-02-06T15:30:00+00:00, 2024-02-06T21:00:00+00:00, 2024-02-07T19:00:00+00:00, 2024-02-08T19:30:00+00:00, 2024-02-09T16:00:00+00:00, 2024-02-09T19:30:00+00:00, 2024-02-12T15:30:00+00:00]","[2.0, 10.0, 6.0, 11.0, 5.0, 4.0, 3.0]","[0.33100000000000307, 0.21999999999999886, 0.29999999999999716, 0.20199999999999818, 0.3990000000000009, 0.33500000000000085, 0.5310000000000059]","[0.6347075743048957, 0.4196070951745162, 0.5699088145896603, 0.3814199395770358, 0.7497040641851918, 0.6271059528266583, 0.9895639209839843]",2024-02-14 08:10:55
IDHQ,ALGO_ADX_28,11,11,0,1.3322,0.1571,10.0000,0.5464,0.3759398496240582,1.0,2024-02-12 18:30:00+00:00,6,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-23T20:00:00+00:00, 2024-01-24T15:30:00+00:00, 2024-02-02T15:30:00+00:00, 2024-02-02T20:00:00+00:00, 2024-02-05T15:00:00+00:00, 2024-02-05T19:00:00+00:00, 2024-02-06T19:30:00+00:00, 2024-02-07T15:00:00+00:00, 2024-02-07T16:30:00+00:00, 2024-02-09T18:00:00+00:00, 2024-02-09T20:00:00+00:00]","[2024-01-24T15:00:00+00:00, 2024-01-26T15:00:00+00:00, 2024-02-02T19:30:00+00:00, 2024-02-05T14:30:00+00:00, 2024-02-05T18:30:00+00:00, 2024-02-06T19:00:00+00:00, 2024-02-07T14:30:00+00:00, 2024-02-07T16:00:00+00:00, 2024-02-09T17:30:00+00:00, 2024-02-09T19:30:00+00:00, 2024-02-12T18:30:00+00:00]","[4.0, 26.0, 8.0, 3.0, 7.0, 13.0, 4.0, 2.0, 29.0, 3.0, 11.0]","[0.37099999999999866, 0.38300000000000267, 0.08999999999999986, 0.16199999999999903, 0.0799999999999983, 0.08899999999999864, 0.16000000000000014, 0.015000000000000568, 0.1980000000000004, 0.10999999999999943, 0.07000000000000028]","[1.3205666690396478, 1.3422583584495784, 0.31045187995860596, 0.5582741746502138, 0.2769124264451308, 0.30699182504914846, 0.5500171880371266, 0.05149330587023882, 0.6794317479925893, 0.3759398496240582, 0.2380142808568524]",2024-02-14 08:16:20
PALC,ALGO_ADX_28,8,7,1,1.2218,0.2280,9.0000,0.5460,0.5765428508017609,0.875,2024-02-02 17:30:00+00:00,16,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-01-24T21:00:00+00:00, 2024-01-25T16:00:00+00:00, 2024-01-26T15:30:00+00:00, 2024-01-30T16:00:00+00:00, 2024-01-31T21:00:00+00:00, 2024-02-01T18:00:00+00:00, 2024-02-01T20:30:00+00:00, 2024-02-02T15:30:00+00:00]","[2024-01-25T15:30:00+00:00, 2024-01-26T14:30:00+00:00, 2024-01-30T15:30:00+00:00, 2024-01-31T20:30:00+00:00, 2024-02-01T17:30:00+00:00, 2024-02-01T20:00:00+00:00, 2024-02-02T15:00:00+00:00, 2024-02-02T17:30:00+00:00]","[2.0, 11.0, 25.0, 20.0, 5.0, 3.0, 3.0, 3.0]","[0.240000000000002, 0.22000000000000597, 0.35999999999999943, -0.19500000000000028, 0.23999999999999488, 0.2079999999999984, 0.5050000000000026, 0.24600000000000222]","[0.5828071879553229, 0.5317863185883634, 0.8645533141210362, -0.46411995715815846, 0.5755395683453114, 0.49734589450528044, 1.2023809523809583, 0.5775461332582106]",2024-02-14 08:33:13
