symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
TRB-USDT:USDT,ALGO_ADX_28,21,20,1,0.2252,22.0952,1.9084,"[7.0, 1.0, 12.0, 2.0, 23.0, 7.0, 18.0, 21.0, 2.0, 5.0, 64.0, 118.0, 130.0, 1.0, 45.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0]","[0.6600000000000001, 0.39000000000000057, 0.2699999999999996, 0.129999999999999, 0.3000000000000007, 0.09999999999999964, 0.120000000000001, 0.5099999999999998, 0.129999999999999, 0.05000000000000071, 0.28000000000000114, -0.7299999999999986, 0.08999999999999986, 0.25, 0.4900000000000002, 0.27999999999999936, 0.09999999999999964, 0.36400000000000077, 0.31099999999999994, 0.41300000000000203, 0.22100000000000009]","[6.285714285714287, 3.4300791556728285, 2.436823104693137, 1.1423550087873375, 2.6064291920069564, 0.8445945945945915, 1.0416666666666752, 4.344122657580918, 1.0620915032679656, 0.41118421052632165, 2.2508038585209094, -5.712050078247251, 0.7646559048428195, 2.0542317173377156, 4.914744232698096, 2.6948989412896953, 0.9460737937559095, 2.457466918714561, 2.043901156677182, 2.6484545337950625, 1.4071951607768232]",2023-09-10 21:54:27,0.9523809523809523,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-04 18:00:00+00:00,13
LPT-TRY,ALGO_ADX_28,6,5,1,3.6333,13.0000,1.8734,"[17.0, 5.0, 6.0, 1.0, 48.0, 1.0]","[4.299999999999983, 0.700000000000017, 1.200000000000017, 3.5, 14.300000000000011, -2.1999999999999886]","[2.2595901208617883, 0.3625064733298897, 0.6230529595015665, 1.79763739085773, 7.26995424504322, -1.0721247563352772]",2023-09-10 21:53:06,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-04 04:00:00+00:00,13
RAD-BUSD,ALGO_ADX_28,9,8,1,0.0173,43.7778,1.2955,"[87.0, 18.0, 228.0, 1.0, 1.0, 5.0, 41.0, 2.0, 11.0]","[0.07699999999999996, -0.08899999999999997, 0.030000000000000027, 0.016999999999999904, 0.038000000000000034, 0.025000000000000133, 0.02499999999999991, 0.016000000000000014, 0.016999999999999904]","[4.806491885143568, -5.510835913312691, 2.2304832713754665, 1.2630014858840939, 2.751629254163652, 1.889644746787614, 1.8409425625920406, 1.1585807385952218, 1.2292118582790965]",2023-09-10 21:48:42,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 02:00:00+00:00,7
LPT-USDT:USDT,ALGO_ADX_28,21,17,4,0.0690,31.7143,1.2197,"[15.0, 98.0, 109.0, 13.0, 7.0, 17.0, 1.0, 8.0, 8.0, 73.0, 113.0, 4.0, 3.0, 7.0, 5.0, 10.0, 2.0, 37.0, 47.0, 2.0, 87.0]","[0.10299999999999976, 0.09200000000000053, -0.2160000000000002, 0.0389999999999997, 0.07500000000000018, 0.31099999999999994, 0.4079999999999995, 0.017999999999999794, 0.21999999999999975, -0.03599999999999959, -0.18799999999999972, 0.41500000000000004, 0.09100000000000019, 0.04499999999999993, 0.13100000000000023, 0.266, 0.21500000000000075, 0.0259999999999998, 0.3719999999999999, 0.09699999999999953, -1.0350000000000001]","[2.536321103176552, 2.2179363548698294, -5.0967437470505, 0.8320887561339813, 1.6160310277957377, 6.416340004126261, 7.646176911544218, 0.3058103975535133, 3.2112100423295833, -0.517315706279632, -2.7409243329931434, 6.289784783267657, 1.3176947581812946, 0.627527541486542, 1.8455903071287718, 3.725490196078432, 2.9188161824599614, 0.3611612723989415, 5.155210643015519, 1.2904084076094124, -14.345114345114348]",2023-09-10 21:53:57,0.8095238095238095,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 06:00:00+00:00,7
PERP-USDT:USDT,ALGO_ADX_28,22,19,3,0.0053,32.6364,1.1989,"[19.0, 115.0, 5.0, 3.0, 78.0, 39.0, 14.0, 10.0, 84.0, 9.0, 3.0, 6.0, 14.0, 140.0, 101.0, 5.0, 3.0, 19.0, 3.0, 31.0, 2.0, 15.0]","[0.010999999999999899, -0.04349999999999993, 0.007899999999999963, 0.010700000000000043, 0.004599999999999993, 0.01150000000000001, 0.015199999999999991, 0.0024000000000000687, 0.009299999999999975, 0.006000000000000005, 0.008499999999999952, 0.008600000000000052, 0.006199999999999983, -0.0025000000000000577, 0.0005999999999999894, 0.02030000000000004, 0.005799999999999972, 0.011699999999999988, -0.0032999999999999696, 0.008099999999999996, 0.009299999999999975, 0.009099999999999997]","[2.1929824561403306, -8.387967605090616, 1.6840758900021235, 2.257383966244735, 0.9535655058043104, 2.35994254052945, 3.0694668820678497, 0.4711425206124988, 1.8368556191980991, 1.165274810642844, 1.6255498183208934, 1.678048780487815, 1.190019193857962, -0.4742933029785729, 0.14357501794687472, 4.976709977935779, 1.3466449965172909, 2.747123737966656, -0.7645968489341913, 1.9684082624544341, 2.2074531212912354, 2.128654970760233]",2023-09-10 21:54:45,0.8636363636363636,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-03 23:00:00+00:00,13
TRX-USDT,ALGO_ADX_28,6,5,1,0.0009,94.6667,1.1806,"[172.0, 12.0, 13.0, 298.0, 36.0, 37.0]","[0.0003700000000000092, 0.0013799999999999923, 0.0017700000000000077, 0.001460000000000003, 0.001009999999999997, -0.0006099999999999994]","[0.48133211916223395, 1.8473895582329214, 2.328640968293656, 1.905010438413365, 1.2937107723837544, -0.772738788953635]",2023-09-10 21:41:04,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 21:00:00+00:00,7
HFT-USDT:USDT,ALGO_ADX_28,19,16,3,0.0038,38.7895,1.1236,"[7.0, 130.0, 10.0, 30.0, 73.0, 5.0, 116.0, 5.0, 6.0, 3.0, 14.0, 26.0, 53.0, 219.0, 2.0, 4.0, 2.0, 4.0, 28.0]","[0.008199999999999985, -0.029799999999999993, 0.005500000000000005, 0.005599999999999994, 0.006200000000000039, 0.0038000000000000256, 0.0043999999999999595, 0.007099999999999995, 0.012500000000000011, 0.007599999999999996, 0.0024000000000000132, 0.009500000000000008, 0.0032999999999999696, -0.008099999999999996, 0.007199999999999984, 0.009299999999999975, 0.003300000000000025, 0.03640000000000004, -0.021499999999999964]","[2.3183488832343753, -8.175582990397803, 1.6496700659868042, 1.6592592592592572, 1.808107319918355, 1.0925819436457807, 1.2496449872195283, 1.9673039623164297, 3.450179409329288, 2.0441097364174277, 0.6367736800212292, 2.838362712877206, 0.957354221061784, -2.349869451697127, 2.1524663677129996, 2.779438135086663, 0.968309859154937, 10.772417875110992, -6.470057177249462]",2023-09-10 21:55:07,0.8421052631578947,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 11:00:00+00:00,7
MKR-USDT:USDT,ALGO_ADX_28,12,10,2,8.8917,47.2500,0.9622,"[6.0, 1.0, 4.0, 20.0, 42.0, 16.0, 164.0, 215.0, 10.0, 9.0, 4.0, 76.0]","[17.800000000000068, 18.100000000000023, 22.100000000000023, 17.0, 46.700000000000045, 13.0, -59.299999999999955, -56.600000000000136, 21.0, 20.5, 29.300000000000182, 17.09999999999991]","[1.990383540199046, 1.9597228237332205, 2.2866011381272657, 1.7121563097995771, 4.249317561419477, 1.1443661971830987, -4.529137707171768, -5.125882992211568, 1.8643465909090908, 1.801564285086563, 2.668245150714888, 1.5244717838994302]",2023-09-10 21:53:53,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-07 15:00:00+00:00,10
KEY-USDT:USDT,ALGO_ADX_28,14,12,2,0.0000,41.3571,0.9090,"[34.0, 10.0, 15.0, 39.0, 66.0, 9.0, 110.0, 4.0, 211.0, 14.0, 52.0, 6.0, 5.0, 4.0]","[3.5999999999999574e-05, 0.00011099999999999999, 9.900000000000013e-05, 7.799999999999994e-05, -0.00041399999999999944, 6.499999999999995e-05, 1.000000000000046e-05, 0.00017700000000000007, 6.100000000000029e-05, 0.00010999999999999985, 0.00010799999999999959, 0.00010999999999999985, 8.799999999999954e-05, -5.400000000000023e-05]","[0.6874164598052238, 2.103069344448655, 1.843575418994416, 1.4288331196189767, -7.369170523317897, 1.222034216958074, 0.18601190476191332, 3.2596685082872945, 1.3549533540648666, 2.4791525805724555, 2.3883237505528436, 2.367628067154538, 1.9251804856705215, -1.1508951406649666]",2023-09-10 21:54:42,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-05 17:00:00+00:00,12
RAD-USDT:USDT,ALGO_ADX_28,15,13,2,0.0121,45.4667,0.8627,"[60.0, 4.0, 73.0, 32.0, 131.0, 5.0, 15.0, 48.0, 23.0, 11.0, 229.0, 1.0, 12.0, 35.0, 3.0]","[0.02400000000000002, 0.020000000000000018, 0.03100000000000014, 0.026000000000000023, -0.07400000000000007, 0.026999999999999913, 0.040000000000000036, 0.025000000000000133, 0.028999999999999915, -0.07900000000000018, 0.03500000000000014, 0.020999999999999908, 0.018999999999999906, 0.018000000000000016, 0.020000000000000018]","[1.518026565464897, 1.2928248222365881, 1.9632678910703065, 1.6434892541087245, -4.630788485607012, 1.7464424320827887, 2.5477707006369448, 1.579279848389143, 1.8216080402009998, -4.9129353233830955, 2.613890963405537, 1.560178306092118, 1.424287856071957, 1.3225569434239541, 1.4503263234227715]",2023-09-10 21:54:09,0.8666666666666667,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-09 14:00:00+00:00,8
DYDX-USDT:USDT,ALGO_ADX_28,18,15,3,0.0137,33.8333,0.6699,"[8.0, 14.0, 12.0, 3.0, 16.0, 96.0, 6.0, 103.0, 124.0, 3.0, 30.0, 44.0, 2.0, 12.0, 35.0, 45.0, 46.0, 10.0]","[0.03699999999999992, 0.04400000000000004, 0.04200000000000026, 0.052000000000000046, 0.03799999999999981, -0.18300000000000027, 0.03500000000000014, 0.052999999999999936, -0.06699999999999973, 0.053999999999999826, 0.03500000000000014, -0.129, 0.028000000000000025, 0.039000000000000146, 0.020000000000000018, 0.021999999999999797, 0.06000000000000005, 0.06599999999999984]","[1.8172888015717055, 2.1225277375783906, 1.957129543336452, 2.3787740164684377, 1.6987036209208675, -8.224719101123608, 1.6916384726921287, 2.5274201239866447, -3.1381733021077154, 2.6483570377636005, 1.679462571976974, -5.8796718322698265, 1.303538175046556, 1.8080667593880457, 0.9170105456212755, 0.9981851179673229, 2.7868091035764073, 2.9649595687331463]",2023-09-10 21:54:22,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-01 01:00:00+00:00,16
BURGER-BUSD,ALGO_ADX_28,6,5,1,0.0030,62.1667,0.6214,"[4.0, 24.0, 2.0, 6.0, 300.0, 37.0]","[0.017699999999999994, 0.007599999999999996, 0.007000000000000006, 0.006000000000000005, -0.027600000000000013, 0.007399999999999962]","[4.456193353474318, 1.8830525272547065, 1.7077335935594062, 1.4527845036319627, -8.070175438596493, 2.298850574712632]",2023-09-10 21:47:09,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-05 16:00:00+00:00,12
CYBER-USDT,ALGO_ADX_28,7,6,1,-0.0846,26.2857,0.4152,"[1.0, 9.0, 11.0, 13.0, 1.0, 13.0, 136.0]","[0.07100000000000017, 0.025000000000000355, 0.1120000000000001, 0.4450000000000003, 0.4009999999999998, 0.3250000000000002, -1.971]","[1.9510854630393013, 0.680272108843547, 3.050939798420052, 11.314518179506745, 8.57937526743688, 4.70878006374964, -27.37880261147382]",2023-09-10 21:53:05,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 02:00:00+00:00,7
ARPA-USDT:USDT,ALGO_ADX_28,19,16,3,0.0000,36.6316,0.0489,"[9.0, 134.0, 29.0, 5.0, 2.0, 49.0, 5.0, 1.0, 144.0, 105.0, 29.0, 101.0, 36.0, 4.0, 25.0, 11.0, 2.0, 4.0, 1.0]","[0.0016000000000000042, -0.003720000000000001, 0.0006500000000000047, 0.0015200000000000005, 0.0004899999999999974, 0.0008000000000000021, 0.0008100000000000052, 0.0008799999999999988, 0.0008700000000000027, -0.00648, 0.0011999999999999997, 0.0003799999999999984, -0.003250000000000003, 0.0010499999999999954, 0.0003899999999999945, 0.0003999999999999976, 0.001120000000000003, 0.0006899999999999962, 0.0002699999999999994]","[3.2454361054766823, -7.292687708292493, 1.318993506493516, 3.0284917314206026, 0.9432146294513906, 1.5661707126076785, 1.565217391304358, 1.7064184603451598, 1.6584064048799136, -11.842105263157894, 2.9440628066732084, 0.9183180280328622, -7.820019249278159, 2.5411423039690106, 0.9172154280338536, 0.9465215333648783, 2.475138121546968, 1.5289164635497365, 0.5798969072164936]",2023-09-10 21:54:18,0.8421052631578947,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 13:00:00+00:00,7
FXS-USDT:USDT,ALGO_ADX_28,14,12,2,-0.0044,57.2857,-0.0628,"[2.0, 30.0, 98.0, 26.0, 2.0, 4.0, 5.0, 32.0, 19.0, 20.0, 15.0, 69.0, 67.0, 413.0]","[0.06599999999999984, 0.11399999999999988, 0.13900000000000023, 0.14100000000000001, 0.04800000000000004, 0.16799999999999926, 0.10400000000000009, 0.29800000000000004, 0.1429999999999998, 0.02400000000000002, 0.07899999999999974, 0.03399999999999981, -0.5619999999999994, -0.8579999999999997]","[1.108684696791531, 1.8952618453865318, 2.292594425202049, 2.265424164524422, 0.8404832778847845, 2.905066574442318, 1.7499579337035185, 4.905349794238684, 2.2441933458882577, 0.38028838535889753, 1.2557621999682043, 0.531249999999997, -8.981940226945811, -14.271457085828338]",2023-09-10 21:54:40,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 16:00:00+00:00,7
ZEN-USDT:USDT,ALGO_ADX_28,13,11,2,-0.0243,69.3077,-0.1599,"[43.0, 3.0, 37.0, 23.0, 2.0, 4.0, 2.0, 6.0, 80.0, 332.0, 151.0, 2.0, 216.0]","[0.19399999999999906, 0.12900000000000134, 0.23599999999999888, 0.08699999999999974, 0.13700000000000045, 0.20199999999999996, 0.19200000000000017, 0.20099999999999874, 0.18400000000000105, -1.653999999999999, 0.4250000000000007, 0.08099999999999952, -0.7299999999999995]","[2.384171070419062, 1.5371782650143153, 2.7853180691608506, 1.0046189376443388, 1.5718219366682016, 2.2830018083182635, 2.1115143516991113, 2.1900196121159157, 1.9505989610940428, -17.193347193347186, 5.751014884979712, 1.0670530891845542, -9.521325159775657]",2023-09-10 21:53:21,0.8461538461538461,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 14:00:00+00:00,7
AGLD-USDT:USDT,ALGO_ADX_28,12,10,2,-0.0020,38.5833,-0.2019,"[160.0, 36.0, 9.0, 68.0, 130.0, 9.0, 2.0, 1.0, 4.0, 4.0, 1.0, 39.0]","[0.01100000000000001, -0.06459999999999999, 0.011299999999999977, 0.008700000000000041, -0.05020000000000002, 0.006399999999999961, 0.008500000000000008, 0.005800000000000027, 0.01639999999999997, 0.0030999999999999917, 0.009700000000000042, 0.010099999999999998]","[1.710199004975126, -10.08114856429463, 2.2385103011093457, 1.7022109176286522, -9.676175790285276, 1.3719185423365403, 1.8058211174845988, 1.1464716347104225, 3.0631303698169536, 0.5820503191888832, 1.8212542245587764, 1.8931583880037486]",2023-09-10 21:54:40,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-08 10:00:00+00:00,9
CYBER-TRY,ALGO_ADX_28,6,5,1,-4.0533,30.5000,-0.3814,"[7.0, 11.0, 13.0, 1.0, 13.0, 138.0]","[0.8700000000000045, 2.8000000000000114, 11.900000000000006, 10.719999999999999, 8.570000000000022, -59.18000000000001]","[0.8794985847149257, 2.8317152103559984, 11.277482941622447, 8.524850894632205, 4.577991452991465, -30.379876796714584]",2023-09-10 21:53:02,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 04:00:00+00:00,7
CYBER-BNB,ALGO_ADX_28,6,5,1,-0.0010,29.6667,-1.7732,"[5.0, 11.0, 13.0, 1.0, 8.0, 140.0]","[0.0001559999999999999, 0.0005690000000000001, 0.000961, 0.0014509999999999974, 0.0010570000000000024, -0.010273000000000001]","[0.9298444298742319, 3.3798633798633806, 5.3382957449172315, 7.023233301064846, 3.2555131206110706, -30.566217382248805]",2023-09-10 21:53:00,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 06:00:00+00:00,7
