symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
CETUS-USDT:USDT,ALGO_ADX_28,9,9,0,0.0010,4.1111,2.0656,"[10.0, 1.0, 1.0, 2.0, 19.0, 1.0, 1.0, 1.0, 1.0]","[0.0003599999999999992, 0.0008099999999999982, 0.00030000000000000165, 0.0003099999999999978, 0.0015500000000000028, 0.0010000000000000009, 0.0006600000000000009, 0.0009800000000000017, 0.002579999999999999]","[0.8544979824353174, 1.8978444236176153, 0.6729475100942163, 0.6989853438556883, 3.474557274153783, 2.1677866897897267, 1.4117647058823548, 2.062289562289566, 5.349367613518555]",2023-09-11 14:30:14,1.0,ADX_28_TEST_1H_CRYPTO_OKX_RESULTS,2023-09-11 01:00:00+00:00,6
CETUS-USDT,ALGO_ADX_28,8,8,0,0.0007,4.3750,1.6686,"[9.0, 1.0, 1.0, 2.0, 19.0, 1.0, 1.0, 1.0]","[0.00068, 0.0007199999999999984, 0.0002699999999999994, 0.00014999999999999736, 0.0015200000000000005, 0.0010500000000000023, 0.0006600000000000009, 0.0009499999999999995]","[1.6283524904214561, 1.6842105263157856, 0.60565275908479, 0.3378378378378319, 3.4080717488789247, 2.2756827048114485, 1.4093529788597072, 1.9999999999999991]",2023-09-11 14:22:19,1.0,ADX_28_TEST_1H_CRYPTO_OKX_RESULTS,2023-09-10 23:00:00+00:00,6
ID-USDT,ALGO_ADX_28,6,6,0,0.0032,9.0000,1.5402,"[3.0, 9.0, 14.0, 3.0, 15.0, 10.0]","[0.004799999999999999, 0.003899999999999987, 0.0031000000000000194, 0.0025000000000000022, 0.0024000000000000132, 0.002700000000000008]","[2.359882005899704, 1.8740989908697678, 1.4775977121067776, 1.1693171188026203, 1.1085450346420385, 1.2517385257301845]",2023-09-11 14:23:33,1.0,ADX_28_TEST_1H_CRYPTO_OKX_RESULTS,2023-09-11 02:00:00+00:00,6
MYRIA-USDT,ALGO_ADX_28,6,5,1,0.0000,3.0000,1.0119,"[3.0, 3.0, 1.0, 6.0, 3.0, 2.0]","[1.5999999999999955e-05, 4.699999999999995e-05, 2.3000000000000017e-05, -3.6999999999999924e-05, 1.0000000000000026e-05, 3.6999999999999924e-05]","[1.0249839846252373, 3.0051150895140633, 1.422387136672852, -2.170087976539585, 0.5945303210463749, 2.19454329774614]",2023-09-11 14:24:44,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_OKX_RESULTS,2023-09-09 21:00:00+00:00,8
