symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
DJUL,ALGO_ADX_28,8,8,0,5.7786,0.2287,7.3750,0.6253,0.6233385124580768,1.0,2024-02-02 18:00:00+00:00,9,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-05T16:00:00+00:00, 2024-01-09T15:00:00+00:00, 2024-01-11T17:00:00+00:00, 2024-01-17T19:00:00+00:00, 2024-01-18T17:00:00+00:00, 2024-01-19T17:00:00+00:00, 2024-01-19T21:00:00+00:00, 2024-02-01T21:00:00+00:00, 2024-02-02T19:00:00+00:00]","[2024-01-08T21:00:00+00:00, 2024-01-10T20:00:00+00:00, 2024-01-11T21:00:00+00:00, 2024-01-18T16:00:00+00:00, 2024-01-19T16:00:00+00:00, 2024-01-19T20:00:00+00:00, 2024-01-24T16:00:00+00:00, 2024-02-02T18:00:00+00:00]","[11.0, 12.0, 4.0, 4.0, 6.0, 3.0, 16.0, 3.0]","[0.21999999999999886, 0.25500000000000256, 0.16499999999999915, 0.19500000000000028, 0.2920000000000016, 0.19999999999999574, 0.26500000000000057, 0.23799999999999955]","[0.607064017660041, 0.7011273027220307, 0.45335897788157475, 0.5370421371523003, 0.8013172338090055, 0.5448106782892828, 0.7179626117583326, 0.6396130072561127]",2024-02-06 16:24:51
EDIV,ALGO_ADX_28,7,6,1,0.9582,0.1929,4.5714,0.6073,0.3796267004112654,0.8571428571428571,2024-01-25 16:00:00+00:00,17,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2023-12-21T21:00:00+00:00, 2023-12-22T17:00:00+00:00, 2023-12-26T17:00:00+00:00, 2023-12-27T19:00:00+00:00, 2024-01-23T15:00:00+00:00, 2024-01-23T21:00:00+00:00, 2024-01-24T17:00:00+00:00]","[2023-12-22T16:00:00+00:00, 2023-12-26T16:00:00+00:00, 2023-12-27T18:00:00+00:00, 2023-12-28T15:00:00+00:00, 2024-01-23T20:00:00+00:00, 2024-01-24T16:00:00+00:00, 2024-01-25T16:00:00+00:00]","[2.0, 6.0, 8.0, 3.0, 5.0, 2.0, 6.0]","[0.120000000000001, 0.33999999999999986, 0.07499999999999929, 0.259999999999998, -0.10499999999999687, 0.5499999999999972, 0.10999999999999943]","[0.3796267004112654, 1.072893657305143, 0.23481527864746177, 0.8107265357031431, -0.3317535545023598, 1.7421602787456354, 0.3424657534246558]",2024-02-06 16:26:40
QLC,ALGO_ADX_28,9,8,1,1.3808,0.3077,6.7778,0.5777,0.7004922377887115,0.8888888888888888,2024-02-02 17:00:00+00:00,9,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-05T21:00:00+00:00, 2024-01-08T18:00:00+00:00, 2024-01-08T21:00:00+00:00, 2024-01-16T15:00:00+00:00, 2024-01-17T18:00:00+00:00, 2024-01-18T17:00:00+00:00, 2024-01-19T15:00:00+00:00, 2024-01-22T16:00:00+00:00, 2024-02-01T21:00:00+00:00, 2024-02-02T19:00:00+00:00]","[2024-01-08T17:00:00+00:00, 2024-01-08T20:00:00+00:00, 2024-01-12T21:00:00+00:00, 2024-01-17T17:00:00+00:00, 2024-01-18T16:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T21:00:00+00:00, 2024-01-24T17:00:00+00:00, 2024-02-02T17:00:00+00:00]","[2.0, 2.0, 24.0, 7.0, 5.0, 4.0, 3.0, 11.0, 3.0]","[0.31700000000000017, 0.2839999999999989, 0.25499999999999545, -0.2700000000000031, 0.45000000000000284, 0.36999999999999744, 0.48499999999999943, 0.4350000000000023, 0.44299999999999784]","[0.6065476532154682, 0.5396572036635863, 0.4812228722400367, -0.5098187311178307, 0.8571428571428625, 0.7004922377887115, 0.9085459518189641, 0.8032499307543205, 0.811994794435174]",2024-02-06 16:57:37
MOHR,ALGO_ADX_28,8,7,1,0.782,0.1099,5.0000,0.5480,0.7070388500995837,0.875,2024-01-26 16:00:00+00:00,16,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-11T18:00:00+00:00, 2024-01-12T17:00:00+00:00, 2024-01-17T20:00:00+00:00, 2024-01-18T18:00:00+00:00, 2024-01-19T16:00:00+00:00, 2024-01-19T20:00:00+00:00, 2024-01-24T21:00:00+00:00, 2024-01-25T19:00:00+00:00]","[2024-01-12T16:00:00+00:00, 2024-01-17T19:00:00+00:00, 2024-01-18T17:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T19:00:00+00:00, 2024-01-24T20:00:00+00:00, 2024-01-25T16:00:00+00:00, 2024-01-26T16:00:00+00:00]","[5.0, 11.0, 3.0, 3.0, 2.0, 10.0, 2.0, 4.0]","[0.0799999999999983, -0.23000000000000043, 0.11999999999999744, 0.20500000000000185, 0.21000000000000085, 0.1620000000000026, 0.21000000000000085, 0.12199999999999989]","[0.40444893832152823, -1.1586901763224202, 0.6116207951070205, 1.041666666666676, 1.0526315789473728, 0.8024569050921467, 1.033464566929138, 0.5963437286147223]",2024-02-06 16:48:39
FDG,ALGO_ADX_28,8,7,1,0.7466,0.3901,3.3750,0.5429,0.7182472830539212,0.875,2024-02-05 16:00:00+00:00,6,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-17T20:00:00+00:00, 2024-01-18T17:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T19:00:00+00:00, 2024-01-22T19:00:00+00:00, 2024-02-01T17:00:00+00:00, 2024-02-02T15:00:00+00:00, 2024-02-02T20:00:00+00:00, 2024-02-05T17:00:00+00:00]","[2024-01-18T16:00:00+00:00, 2024-01-18T20:00:00+00:00, 2024-01-19T18:00:00+00:00, 2024-01-22T18:00:00+00:00, 2024-01-24T15:00:00+00:00, 2024-02-01T21:00:00+00:00, 2024-02-02T18:00:00+00:00, 2024-02-05T16:00:00+00:00]","[3.0, 2.0, 2.0, 4.0, 8.0, 3.0, 2.0, 3.0]","[0.6599999999999966, 0.0940000000000083, 0.75, 0.30700000000000216, 1.0400000000000063, 0.4399999999999977, 0.6299999999999955, -0.7999999999999972]","[0.9316770186335356, 0.13148692124773856, 1.0476323508869954, 0.4237405106970354, 1.4285714285714373, 0.5975013579576287, 0.8389932081502136, -1.0566635847312076]",2024-02-06 16:30:14
SNN,ALGO_ADX_28,11,10,1,0.7978,0.1493,3.0000,0.5391,0.46156577312267905,0.9090909090909091,2024-02-06 16:00:00+00:00,5,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-04T21:00:00+00:00, 2024-01-05T17:00:00+00:00, 2024-01-08T15:00:00+00:00, 2024-01-08T17:00:00+00:00, 2024-01-29T19:00:00+00:00, 2024-01-30T15:00:00+00:00, 2024-01-30T17:00:00+00:00, 2024-01-31T17:00:00+00:00, 2024-02-01T17:00:00+00:00, 2024-02-02T17:00:00+00:00, 2024-02-05T15:00:00+00:00, 2024-02-06T17:00:00+00:00]","[2024-01-05T16:00:00+00:00, 2024-01-05T21:00:00+00:00, 2024-01-08T16:00:00+00:00, 2024-01-08T20:00:00+00:00, 2024-01-29T21:00:00+00:00, 2024-01-30T16:00:00+00:00, 2024-01-31T16:00:00+00:00, 2024-01-31T18:00:00+00:00, 2024-02-01T18:00:00+00:00, 2024-02-02T21:00:00+00:00, 2024-02-06T16:00:00+00:00]","[2.0, 4.0, 1.0, 3.0, 2.0, 1.0, 6.0, 1.0, 1.0, 4.0, 8.0]","[0.00999999999999801, 0.07000000000000028, 0.16999999999999815, 0.20500000000000185, 0.11499999999999844, -0.24299999999999855, 0.46499999999999986, 0.13000000000000256, 0.4499999999999993, 0.11999999999999744, 0.14999999999999858]","[0.0376647834274878, 0.26485054861899465, 0.6280014776505288, 0.7483117357182035, 0.4134459823836003, -0.8622219068232571, 1.6669654059867356, 0.46156577312267905, 1.6008537886872973, 0.43305665824611134, 0.5372492836676166]",2024-02-06 17:03:19
FMAY,ALGO_ADX_28,7,6,1,1.1811,0.1803,15.4286,0.4347,0.6103468320093065,0.8571428571428571,2024-01-29 21:00:00+00:00,13,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-03T17:00:00+00:00, 2024-01-08T21:00:00+00:00, 2024-01-12T17:00:00+00:00, 2024-01-17T17:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T20:00:00+00:00, 2024-01-24T18:00:00+00:00]","[2024-01-08T20:00:00+00:00, 2024-01-12T16:00:00+00:00, 2024-01-17T16:00:00+00:00, 2024-01-18T20:00:00+00:00, 2024-01-19T19:00:00+00:00, 2024-01-24T16:00:00+00:00, 2024-01-29T21:00:00+00:00]","[19.0, 23.0, 13.0, 9.0, 4.0, 16.0, 24.0]","[0.30999999999999517, 0.19000000000000483, -0.15500000000000114, 0.25200000000000244, 0.27599999999999625, 0.259999999999998, 0.1290000000000049]","[0.7544414699440135, 0.45893719806764455, -0.37340399903637955, 0.6103468320093065, 0.6641959859459889, 0.6218607988519446, 0.30684331961657646]",2024-02-06 16:31:43
ADME,ALGO_ADX_28,7,6,1,0.7047,0.1644,6.7143,0.4259,0.6228824602554192,0.8571428571428571,2024-01-24 17:00:00+00:00,18,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-09T21:00:00+00:00, 2024-01-10T21:00:00+00:00, 2024-01-11T20:00:00+00:00, 2024-01-17T18:00:00+00:00, 2024-01-18T17:00:00+00:00, 2024-01-19T15:00:00+00:00, 2024-01-19T20:00:00+00:00]","[2024-01-10T20:00:00+00:00, 2024-01-11T19:00:00+00:00, 2024-01-17T17:00:00+00:00, 2024-01-18T16:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T19:00:00+00:00, 2024-01-24T17:00:00+00:00]","[5.0, 2.0, 12.0, 5.0, 4.0, 3.0, 16.0]","[0.2120000000000033, 0.054999999999999716, -0.3300000000000054, 0.24499999999999744, 0.23900000000000432, 0.3049999999999997, 0.42499999999999716]","[0.5525149856658934, 0.14289425824889507, -0.8566978193146557, 0.6419494301061115, 0.6228824602554192, 0.7885211995863488, 1.0891850333162407]",2024-02-06 16:08:27
DSEP,ALGO_ADX_28,7,6,1,0.9675,0.1524,9.5714,0.4175,0.5269448066058113,0.8571428571428571,2024-02-02 16:00:00+00:00,9,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-04T21:00:00+00:00, 2024-01-08T20:00:00+00:00, 2024-01-11T17:00:00+00:00, 2024-01-12T19:00:00+00:00, 2024-01-16T20:00:00+00:00, 2024-01-19T21:00:00+00:00, 2024-02-01T18:00:00+00:00, 2024-02-02T18:00:00+00:00]","[2024-01-08T18:00:00+00:00, 2024-01-11T15:00:00+00:00, 2024-01-12T16:00:00+00:00, 2024-01-16T19:00:00+00:00, 2024-01-19T20:00:00+00:00, 2024-01-24T17:00:00+00:00, 2024-02-02T16:00:00+00:00]","[10.0, 13.0, 5.0, 7.0, 13.0, 14.0, 5.0]","[0.22999999999999687, 0.05999999999999517, 0.14400000000000546, -0.15800000000000125, 0.35999999999999943, 0.1939999999999955, 0.23700000000000188]","[0.6372956497644691, 0.16492578339745786, 0.3959307121253931, -0.43161144043489297, 0.9879253567508218, 0.5269448066058113, 0.6410603191777168]",2024-02-06 16:25:39
GIB,ALGO_ADX_28,8,7,1,0.9254,0.4426,3.2500,0.4160,0.5601351706247057,0.875,2024-01-22 16:00:00+00:00,20,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-11T17:00:00+00:00, 2024-01-11T20:00:00+00:00, 2024-01-16T18:00:00+00:00, 2024-01-16T21:00:00+00:00, 2024-01-17T17:00:00+00:00, 2024-01-18T15:00:00+00:00, 2024-01-18T21:00:00+00:00, 2024-01-19T19:00:00+00:00]","[2024-01-11T19:00:00+00:00, 2024-01-12T16:00:00+00:00, 2024-01-16T20:00:00+00:00, 2024-01-17T16:00:00+00:00, 2024-01-17T21:00:00+00:00, 2024-01-18T20:00:00+00:00, 2024-01-19T18:00:00+00:00, 2024-01-22T16:00:00+00:00]","[2.0, 3.0, 2.0, 2.0, 4.0, 5.0, 4.0, 4.0]","[0.7800000000000011, 0.6230000000000047, 0.6800000000000068, -0.737000000000009, 0.38000000000000966, 0.5699999999999932, 0.7399999999999949, 0.5049999999999955]","[0.7377979568671975, 0.5839511843054961, 0.6457739791073189, -0.6948896850839232, 0.3617325083293762, 0.5363191569439153, 0.691007563731436, 0.4666635863789636]",2024-02-06 16:34:13
