symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
INFN,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0343,1.0000,0.8107,0.8293838862559275,0.8571428571428571,2023-09-20 14:00:00+00:00,25,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-06T16:00:00+00:00, 2023-09-07T13:00:00+00:00, 2023-09-07T15:00:00+00:00, 2023-09-07T17:00:00+00:00, 2023-09-07T20:00:00+00:00, 2023-09-08T14:00:00+00:00, 2023-09-20T13:00:00+00:00]","[2023-09-06T17:00:00+00:00, 2023-09-07T14:00:00+00:00, 2023-09-07T16:00:00+00:00, 2023-09-07T18:00:00+00:00, 2023-09-07T22:00:00+00:00, 2023-09-08T15:00:00+00:00, 2023-09-20T14:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04999999999999982, -0.009999999999999787, 0.020000000000000462, 0.03500000000000014, 0.054999999999999716, 0.02999999999999936, 0.0600000000000005]","[1.1507479861910201, -0.23255813953487878, 0.4656577415599642, 0.8293838862559275, 1.3110846245530323, 0.7290400972053307, 1.4218009478673106]",2023-10-13 12:24:00
ANIP,ALGO_EMA_RSI_ADX_BB_CGPT,10,10,0,0.4036,1.0000,0.6597,0.4332493554076531,1.0,2023-09-19 15:00:00+00:00,26,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-18T14:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-05T16:00:00+00:00, 2023-09-06T15:00:00+00:00, 2023-09-06T17:00:00+00:00, 2023-09-06T19:00:00+00:00, 2023-09-07T15:00:00+00:00, 2023-09-15T19:00:00+00:00, 2023-09-18T11:00:00+00:00, 2023-09-19T14:00:00+00:00]","[2023-08-18T15:00:00+00:00, 2023-09-05T15:00:00+00:00, 2023-09-05T17:00:00+00:00, 2023-09-06T16:00:00+00:00, 2023-09-06T18:00:00+00:00, 2023-09-06T20:00:00+00:00, 2023-09-07T16:00:00+00:00, 2023-09-15T20:00:00+00:00, 2023-09-18T13:00:00+00:00, 2023-09-19T15:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0450000000000017, 0.4099999999999966, 0.7710000000000008, 0.12000000000000455, 0.22999999999999687, 0.030000000000001137, 0.3049999999999997, 0.125, 0.8500000000000014, 0.14999999999999858]","[1.7820600272851324, 0.6482213438735124, 1.2285482097614622, 0.19461563412261523, 0.372771474878439, 0.0484966052376352, 0.49372723593686724, 0.20085161082991887, 1.3812154696132621, 0.2467511103799944]",2023-10-13 11:23:28
TRHC,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0550,1.1111,0.5459,0.19531249999999584,0.8888888888888888,2023-09-22 14:00:00+00:00,23,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-18T13:00:00+00:00, 2023-08-22T12:00:00+00:00, 2023-08-23T13:00:00+00:00, 2023-08-25T13:00:00+00:00, 2023-09-05T13:00:00+00:00, 2023-09-05T22:00:00+00:00, 2023-09-13T22:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-22T12:00:00+00:00]","[2023-08-18T14:00:00+00:00, 2023-08-22T13:00:00+00:00, 2023-08-23T14:00:00+00:00, 2023-08-25T14:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-06T12:00:00+00:00, 2023-09-14T13:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-22T14:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.019999999999999574, 0.019999999999999574, 0.005000000000000782, -0.009999999999999787, 0.009999999999999787, 0.03999999999999915, 0.030000000000001137, 0.03500000000000014, 0.34500000000000064]","[0.19512195121950804, 0.19531249999999584, 0.04873294346979319, -0.09727626459143762, 0.09746588693956908, 0.3906249999999917, 0.29211295034080953, 0.34079844206426624, 3.4500000000000064]",2023-10-13 13:22:31
TIGR,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0198,1.0000,0.3970,0.4787234042553255,0.8888888888888888,2023-09-28 15:00:00+00:00,17,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-08T14:00:00+00:00, 2023-08-09T15:00:00+00:00, 2023-08-11T09:00:00+00:00, 2023-08-11T11:00:00+00:00, 2023-09-18T14:00:00+00:00, 2023-09-19T10:00:00+00:00, 2023-09-19T14:00:00+00:00, 2023-09-19T21:00:00+00:00, 2023-09-28T14:00:00+00:00]","[2023-08-08T15:00:00+00:00, 2023-08-09T16:00:00+00:00, 2023-08-11T10:00:00+00:00, 2023-08-11T12:00:00+00:00, 2023-09-18T15:00:00+00:00, 2023-09-19T11:00:00+00:00, 2023-09-19T15:00:00+00:00, 2023-09-19T22:00:00+00:00, 2023-09-28T15:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.030999999999999694, 0.028999999999999915, -0.06999999999999984, 0.018000000000000238, 0.01499999999999968, 0.03000000000000025, 0.09499999999999975, 0.009999999999999787, 0.020000000000000462]","[0.805404001039223, 0.7530511555440124, -1.8567639257294388, 0.4787234042553255, 0.29585798816567416, 0.5893909626719106, 1.9019019019018968, 0.2032520325203209, 0.4024144869215385]",2023-10-13 13:20:37
FLJ,ALGO_KAMA_STOCHRSI_VWAP_CGPT,9,9,0,0.0113,1.2222,5.1601,1.9354838709677438,1.0,2023-10-06 18:00:00+00:00,9,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-07-31T18:00:00+00:00, 2023-07-31T22:00:00+00:00, 2023-08-22T23:00:00+00:00, 2023-09-12T15:00:00+00:00, 2023-09-18T12:00:00+00:00, 2023-09-21T17:00:00+00:00, 2023-10-03T12:00:00+00:00, 2023-10-06T14:00:00+00:00, 2023-10-06T16:00:00+00:00]","[2023-07-31T19:00:00+00:00, 2023-08-01T08:00:00+00:00, 2023-08-23T08:00:00+00:00, 2023-09-12T16:00:00+00:00, 2023-09-18T13:00:00+00:00, 2023-09-21T18:00:00+00:00, 2023-10-03T13:00:00+00:00, 2023-10-06T15:00:00+00:00, 2023-10-06T18:00:00+00:00]","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.0010000000000000009, 0.01200000000000001, 0.038000000000000006, 0.0050000000000000044, 0.006000000000000005, 0.0050000000000000044, 0.020000000000000018, 0.010000000000000009, 0.0050000000000000044]","[0.42553191489361747, 5.000000000000004, 20.000000000000004, 1.9230769230769247, 1.9354838709677438, 1.6393442622950833, 9.70873786407768, 3.921568627450984, 1.8867924528301903]",2023-10-15 19:49:17
LFMD,ALGO_KAMA_STOCHRSI_VWAP_CGPT,7,6,1,0.0623,1.0000,1.4519,0.4907975460122704,0.8571428571428571,2023-10-06 17:00:00+00:00,9,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-11T22:00:00+00:00, 2023-08-15T15:00:00+00:00, 2023-09-06T22:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-27T16:00:00+00:00, 2023-10-02T17:00:00+00:00, 2023-10-06T16:00:00+00:00]","[2023-08-11T23:00:00+00:00, 2023-08-15T16:00:00+00:00, 2023-09-07T11:00:00+00:00, 2023-09-13T15:00:00+00:00, 2023-09-27T17:00:00+00:00, 2023-10-02T18:00:00+00:00, 2023-10-06T17:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.009999999999999787, 0.05900000000000016, 0.33999999999999986, 0.07000000000000028, -0.08499999999999996, 0.009999999999999787, 0.03200000000000003]","[0.2262443438913979, 1.3594470046082987, 7.9999999999999964, 1.5021459227467873, -1.5755329008341052, 0.16025641025640683, 0.4907975460122704]",2023-10-15 20:13:32
LWAY,ALGO_KAMA_STOCHRSI_VWAP_CGPT,7,6,1,0.0974,1.1429,0.9428,0.5509641873278119,0.8571428571428571,2023-09-28 15:00:00+00:00,17,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-22T22:00:00+00:00, 2023-08-23T12:00:00+00:00, 2023-08-23T15:00:00+00:00, 2023-08-28T14:00:00+00:00, 2023-09-07T13:00:00+00:00, 2023-09-07T18:00:00+00:00, 2023-09-28T14:00:00+00:00]","[2023-08-23T10:00:00+00:00, 2023-08-23T13:00:00+00:00, 2023-08-23T17:00:00+00:00, 2023-08-28T15:00:00+00:00, 2023-09-07T14:00:00+00:00, 2023-09-07T19:00:00+00:00, 2023-09-28T15:00:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.23000000000000043, 0.031000000000000583, 0.11100000000000065, 0.05999999999999872, 0.05000000000000071, -0.019999999999999574, 0.21999999999999886]","[2.3000000000000043, 0.30365363894603375, 1.0894101481990446, 0.5509641873278119, 0.4336513443191736, -0.1724137931034446, 2.094240837696324]",2023-10-15 20:15:50
PTON,ALGO_KAMA_STOCHRSI_VWAP_CGPT,8,7,1,0.0580,1.0000,0.8928,0.8287908395899746,0.875,2023-10-13 10:00:00+00:00,2,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-01T16:00:00+00:00, 2023-08-02T12:00:00+00:00, 2023-09-01T10:00:00+00:00, 2023-09-01T12:00:00+00:00, 2023-09-05T13:00:00+00:00, 2023-09-14T09:00:00+00:00, 2023-09-27T19:00:00+00:00, 2023-10-13T09:00:00+00:00]","[2023-08-01T17:00:00+00:00, 2023-08-02T13:00:00+00:00, 2023-09-01T11:00:00+00:00, 2023-09-01T13:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-14T10:00:00+00:00, 2023-09-27T20:00:00+00:00, 2023-10-13T10:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.019999999999999574, 0.10899999999999999, 0.04999999999999982, 0.05000000000000071, 0.125, 0.0, 0.040000000000000036, 0.07000000000000028]","[0.2083333333333289, 1.1719169981722395, 0.7936507936507908, 0.78247261345854, 1.924557351809084, 0.0, 0.8639308855291584, 1.397205588822361]",2023-10-15 20:34:25
SNPS,ALGO_KAMA_STOCHRSI_VWAP_CGPT,9,8,1,2.8889,2.7778,0.6224,0.6223971442954618,0.8888888888888888,2023-10-13 14:00:00+00:00,2,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-22T21:00:00+00:00, 2023-08-23T10:00:00+00:00, 2023-08-25T13:00:00+00:00, 2023-08-28T23:00:00+00:00, 2023-09-05T09:00:00+00:00, 2023-10-09T15:00:00+00:00, 2023-10-11T10:00:00+00:00, 2023-10-11T19:00:00+00:00, 2023-10-13T13:00:00+00:00]","[2023-08-22T22:00:00+00:00, 2023-08-23T13:00:00+00:00, 2023-08-25T14:00:00+00:00, 2023-08-29T15:00:00+00:00, 2023-09-05T10:00:00+00:00, 2023-10-09T18:00:00+00:00, 2023-10-11T13:00:00+00:00, 2023-10-12T11:00:00+00:00, 2023-10-13T14:00:00+00:00]","[1.0, 3.0, 1.0, 5.0, 1.0, 3.0, 3.0, 7.0, 1.0]","[0.009999999999990905, 1.1999999999999886, 2.7200000000000273, 7.2099999999999795, 0.0, 7.439999999999998, 3.6000000000000227, 3.7100000000000364, 0.11000000000001364]","[0.0022959476523914373, 0.27409776153494486, 0.6223971442954618, 1.6238738738738694, 0.0, 1.572190818321094, 0.7340946166394827, 0.7506930252321962, 0.022132351461743957]",2023-10-15 20:46:19
TFC,ALGO_KAMA_STOCHRSI_VWAP_CGPT,7,7,0,0.0743,3.1429,0.2500,0.1904761904761895,1.0,2023-10-12 13:00:00+00:00,3,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-07-31T20:00:00+00:00, 2023-08-25T19:00:00+00:00, 2023-08-30T16:00:00+00:00, 2023-09-05T11:00:00+00:00, 2023-10-11T11:00:00+00:00, 2023-10-11T19:00:00+00:00, 2023-10-12T11:00:00+00:00]","[2023-07-31T21:00:00+00:00, 2023-08-28T10:00:00+00:00, 2023-08-30T21:00:00+00:00, 2023-09-05T13:00:00+00:00, 2023-10-11T13:00:00+00:00, 2023-10-11T22:00:00+00:00, 2023-10-12T13:00:00+00:00]","[1.0, 7.0, 5.0, 2.0, 2.0, 3.0, 2.0]","[0.010000000000005116, 0.054999999999999716, 0.16000000000000014, 0.03999999999999915, 0.16000000000000014, 0.08500000000000085, 0.010000000000001563]","[0.03060443764347396, 0.1904761904761895, 0.5306799336650088, 0.1296596434359778, 0.5475701574264208, 0.28711366323256493, 0.033670033670038936]",2023-10-15 20:51:51
