symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
PENDLE-USDT:USDT,ALGO_ADX_28,15,14,1,0.0061,22.0667,1.1226,"[16.0, 9.0, 8.0, 169.0, 54.0, 1.0, 2.0, 3.0, 4.0, 42.0, 1.0, 4.0, 3.0, 13.0, 2.0]","[0.022400000000000087, 0.0029000000000000137, 0.010099999999999998, -0.09930000000000005, 0.012299999999999978, 0.02100000000000002, 0.023799999999999932, 0.01079999999999992, 0.012499999999999956, 0.0035999999999999366, 0.02300000000000002, 0.015300000000000091, 0.011199999999999988, 0.010199999999999987, 0.011600000000000055]","[3.190883190883204, 0.4022191400832197, 1.417742841100505, -13.745847176079742, 2.2905027932960853, 3.8015930485155716, 4.073250042786228, 1.7958097771865515, 2.050524934383195, 0.5782203662062217, 3.6741214057508023, 2.2707034728406192, 1.7640573318632835, 1.5421832476564843, 1.73237753882916]",2023-09-10 21:59:13,0.9333333333333333,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-02 05:00:00+00:00,15
KEY-USDT:USDT,ALGO_ADX_28,14,12,2,0.0000,41.3571,0.9090,"[34.0, 10.0, 15.0, 39.0, 66.0, 9.0, 110.0, 4.0, 211.0, 14.0, 52.0, 6.0, 5.0, 4.0]","[3.5999999999999574e-05, 0.00011099999999999999, 9.900000000000013e-05, 7.799999999999994e-05, -0.00041399999999999944, 6.499999999999995e-05, 1.000000000000046e-05, 0.00017700000000000007, 6.100000000000029e-05, 0.00010999999999999985, 0.00010799999999999959, 0.00010999999999999985, 8.799999999999954e-05, -5.400000000000023e-05]","[0.6874164598052238, 2.103069344448655, 1.843575418994416, 1.4288331196189767, -7.369170523317897, 1.222034216958074, 0.18601190476191332, 3.2596685082872945, 1.3549533540648666, 2.4791525805724555, 2.3883237505528436, 2.367628067154538, 1.9251804856705215, -1.1508951406649666]",2023-09-10 21:17:02,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-05 17:00:00+00:00,12
RAD-USDT:USDT,ALGO_ADX_28,15,13,2,0.0121,45.4667,0.8627,"[60.0, 4.0, 73.0, 32.0, 131.0, 5.0, 15.0, 48.0, 23.0, 11.0, 229.0, 1.0, 12.0, 35.0, 3.0]","[0.02400000000000002, 0.020000000000000018, 0.03100000000000014, 0.026000000000000023, -0.07400000000000007, 0.026999999999999913, 0.040000000000000036, 0.025000000000000133, 0.028999999999999915, -0.07900000000000018, 0.03500000000000014, 0.020999999999999908, 0.018999999999999906, 0.018000000000000016, 0.020000000000000018]","[1.518026565464897, 1.2928248222365881, 1.9632678910703065, 1.6434892541087245, -4.630788485607012, 1.7464424320827887, 2.5477707006369448, 1.579279848389143, 1.8216080402009998, -4.9129353233830955, 2.613890963405537, 1.560178306092118, 1.424287856071957, 1.3225569434239541, 1.4503263234227715]",2023-09-10 22:00:07,0.8666666666666667,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-09 14:00:00+00:00,8
CKB-USDT:USDT,ALGO_ADX_28,15,13,2,0.0000,55.4000,0.8561,"[38.0, 12.0, 63.0, 305.0, 13.0, 18.0, 19.0, 36.0, 197.0, 63.0, 11.0, 6.0, 6.0, 10.0, 34.0]","[5.199999999999996e-05, 5.3000000000000096e-05, 4.300000000000007e-05, 3.899999999999997e-05, 6.300000000000012e-05, 6.499999999999995e-05, 6.600000000000009e-05, 3.300000000000004e-05, -0.00016400000000000008, 5.499999999999993e-05, 1.0000000000000026e-05, 6.399999999999982e-05, 5.600000000000006e-05, 5.099999999999983e-05, -0.00011900000000000018]","[1.8637992831541206, 1.9182048498009445, 1.5291607396870581, 1.3771186440677958, 2.1897810218978147, 2.188552188552187, 2.172481895984203, 1.0645161290322593, -5.884463580911378, 2.0280235988200563, 0.36469730123997174, 2.3400365630712914, 2.0550458715596354, 1.829268292682921, -4.194571730701451]",2023-09-10 21:16:37,0.8666666666666667,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-10 21:00:00+00:00,6
TRU-USDT:USDT,ALGO_ADX_28,17,15,2,0.0002,45.8235,0.6035,"[9.0, 143.0, 6.0, 13.0, 204.0, 11.0, 1.0, 16.0, 7.0, 3.0, 12.0, 3.0, 1.0, 16.0, 1.0, 8.0, 325.0]","[0.0008300000000000043, -0.004370000000000006, 0.0008400000000000005, 0.0007800000000000029, -0.0028600000000000014, 0.0009600000000000025, 0.0002699999999999994, 0.0008299999999999974, 0.0006299999999999986, 0.0005900000000000002, 0.001349999999999997, 0.0005800000000000007, 0.00041999999999999676, 0.0012100000000000027, 0.00038000000000000533, 0.00010000000000000286, 4.000000000000531e-05]","[2.2311827956989365, -11.42782426778244, 2.4547048509643496, 2.227934875749794, -8.015695067264577, 2.7641808234955443, 0.7364975450081818, 2.370751213938867, 1.7627308337996603, 1.988540613414224, 4.506008010680898, 1.8782383419689141, 1.3457225248317743, 3.8510502864417657, 1.1567732115677485, 0.306466441924618, 0.12183978068841095]",2023-09-10 21:58:51,0.8823529411764706,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-08 05:00:00+00:00,9
PHB-USDT:USDT,ALGO_ADX_28,22,19,3,0.0023,27.2273,0.5827,"[115.0, 127.0, 4.0, 7.0, 39.0, 17.0, 12.0, 16.0, 101.0, 1.0, 18.0, 8.0, 3.0, 21.0, 7.0, 25.0, 3.0, 3.0, 2.0, 2.0, 62.0, 6.0]","[-0.052100000000000035, -0.03199999999999992, 0.010299999999999976, 0.007900000000000018, 0.013900000000000023, -0.054300000000000015, 0.009099999999999941, 0.005699999999999927, 0.020399999999999974, 0.006299999999999972, 0.011599999999999944, 0.008199999999999985, 0.0037000000000000366, 0.010299999999999976, 0.015000000000000013, 0.0045000000000000595, 0.006900000000000017, 0.014399999999999968, 0.0040999999999999925, 0.01200000000000001, 0.011399999999999966, 0.01319999999999999]","[-8.073764140709754, -5.251928442474958, 1.7966160823303639, 1.3587891296869654, 2.3740392826643935, -8.537735849056606, 1.8484663822872112, 1.1316259678379843, 3.9984319874558945, 1.197946377638329, 2.2230739747029404, 1.523880319643186, 0.6821533923303902, 1.8937304651590319, 2.8350028350028373, 0.8342602892102446, 1.2770682953914525, 2.632541133455204, 0.7337151037938426, 2.1299254526091604, 1.961121623946321, 2.250639386189256]",2023-09-10 21:17:17,0.8636363636363636,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-08 08:00:00+00:00,9
FXS-USDT:USDT,ALGO_ADX_28,14,12,2,-0.0044,57.2857,-0.0628,"[2.0, 30.0, 98.0, 26.0, 2.0, 4.0, 5.0, 32.0, 19.0, 20.0, 15.0, 69.0, 67.0, 413.0]","[0.06599999999999984, 0.11399999999999988, 0.13900000000000023, 0.14100000000000001, 0.04800000000000004, 0.16799999999999926, 0.10400000000000009, 0.29800000000000004, 0.1429999999999998, 0.02400000000000002, 0.07899999999999974, 0.03399999999999981, -0.5619999999999994, -0.8579999999999997]","[1.108684696791531, 1.8952618453865318, 2.292594425202049, 2.265424164524422, 0.8404832778847845, 2.905066574442318, 1.7499579337035185, 4.905349794238684, 2.2441933458882577, 0.38028838535889753, 1.2557621999682043, 0.531249999999997, -8.981940226945811, -14.271457085828338]",2023-09-10 21:19:35,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-10 16:00:00+00:00,7
OGN-USDT:USDT,ALGO_ADX_28,7,6,1,-0.0017,103.2857,-1.2129,"[1.0, 5.0, 47.0, 326.0, 241.0, 82.0, 21.0]","[0.0023999999999999994, 0.001899999999999999, 0.0029, -0.0233, 0.0016999999999999932, 0.000899999999999998, 0.001799999999999996]","[2.3323615160349846, 1.828681424446582, 2.7410207939508506, -21.105072463768117, 2.1223470661672823, 1.1968085106382953, 2.3936170212765906]",2023-09-10 21:17:26,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-05 01:00:00+00:00,12
FET-USDT,ALGO_ADX_28,18,16,2,0.0028,26.0000,1.3139,"[4.0, 117.0, 4.0, 1.0, 43.0, 9.0, 2.0, 12.0, 3.0, 8.0, 99.0, 16.0, 4.0, 23.0, 11.0, 7.0, 20.0, 85.0]","[0.0020000000000000018, 0.003500000000000003, 0.012400000000000022, 0.0025000000000000022, -0.01050000000000001, 0.007300000000000001, 0.0020999999999999908, 0.0005000000000000004, 0.0006000000000000172, 0.0058, 0.004899999999999988, 0.007599999999999996, 0.008099999999999996, 0.007800000000000001, 0.008199999999999985, 0.009000000000000008, 0.00269999999999998, -0.024999999999999967]","[1.0214504596527076, 1.7517517517517531, 6.102362204724421, 1.154201292705449, -5.077369439071571, 3.5488575595527476, 0.9910335063709252, 0.24026910139356097, 0.28436018957346787, 2.7527289985761745, 2.2769516728624475, 3.4482758620689635, 3.5140997830802587, 3.362068965517242, 3.374485596707813, 3.582802547770704, 1.0571652310101722, -9.735202492211826]",2023-09-10 21:14:29,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_BINANCEUS_RESULTS,2023-09-10 03:00:00+00:00,7
FLOKI-USDT,ALGO_ADX_28,14,12,2,0.0000,41.0000,-0.3374,"[74.0, 6.0, 48.0, 4.0, 18.0, 60.0, 40.0, 58.0, 154.0, 8.0, 40.0, 54.0, 9.0, 1.0]","[4.500000000000008e-07, 5.099999999999968e-07, 8.200000000000023e-07, 6.29999999999999e-07, 2.700000000000025e-07, -7.600000000000002e-06, -1.8999999999999987e-07, 5.3e-07, 7.999999999999923e-08, 3.000000000000005e-07, 1.0000000000001598e-08, 5.600000000000014e-07, 9.60000000000001e-07, 3.9999999999999956e-07]","[2.019748653500901, 2.2686832740213383, 3.5667681600696053, 2.6537489469250173, 1.1235955056179878, -31.391986782321364, -0.9999999999999993, 2.817650186071239, 0.4210526315789433, 1.7964071856287456, 0.058823529411774114, 3.3018867924528386, 5.501432664756453, 2.1390374331550777]",2023-09-10 21:16:29,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_BINANCEUS_RESULTS,2023-09-08 22:00:00+00:00,8
