symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
LTO-USDT,ALGO_ADX_28,7,6,1,0.0020,58.5714,3.2990,"[75.0, 29.0, 141.0, 73.0, 7.0, 76.0, 9.0]","[0.0017179999999999973, 0.007961999999999997, 0.0007229999999999945, -0.000677000000000004, 0.001017999999999998, 0.001121999999999998, 0.0022889999999999994]","[2.7234393329317355, 12.30545724309537, 1.2929646983082272, -1.2248516427847806, 1.880483975247064, 2.0297405839574476, 4.085676037483266]",2023-09-11 06:18:42,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-06 03:00:00+00:00,11
IDEX-ETH,ALGO_ADX_28,10,10,0,0.0000,53.1000,3.1623,"[64.0, 46.0, 13.0, 280.0, 33.0, 4.0, 17.0, 5.0, 3.0, 66.0]","[3.7000000000000154e-07, 4.699999999999972e-07, 7.000000000000102e-08, 4.2999999999999995e-06, 7.100000000000017e-07, 3.9000000000000135e-07, 3.9999999999999956e-07, 8.100000000000007e-07, 2.399999999999977e-07, 8.599999999999985e-07]","[1.3055751587861735, 1.637060257749903, 0.23898941618300112, 16.183665788483246, 2.66116941529236, 1.4417744916820752, 1.458257382427997, 2.923132443161316, 0.8421052631578866, 2.931152010906607]",2023-09-11 06:07:25,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-11 01:00:00+00:00,6
JULD-ETH,ALGO_ADX_28,9,8,1,0.0000,12.7778,3.0311,"[2.0, 10.0, 22.0, 1.0, 2.0, 30.0, 46.0, 1.0, 1.0]","[-1.0000000000000116e-08, 7.999999999999987e-08, 9.999999999999904e-09, 6.000000000000006e-08, 4.9999999999999945e-08, 3.0000000000000136e-08, 2.000000000000002e-08, 2.9999999999999925e-08, 6.999999999999997e-08]","[-0.9900990099010015, 7.766990291262123, 0.8928571428571344, 4.838709677419359, 4.273504273504269, 2.205882352941187, 1.4285714285714302, 2.068965517241374, 4.794520547945203]",2023-09-11 06:10:30,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-03 19:00:00+00:00,14
SOP-USDT,ALGO_ADX_28,9,9,0,0.0000,38.8889,2.9813,"[7.0, 125.0, 25.0, 2.0, 120.0, 1.0, 16.0, 3.0, 51.0]","[3.7999999999999975e-07, 7.399999999999997e-07, 2.3299999999999997e-06, 2.600000000000009e-07, 2.699999999999991e-07, 7.399999999999997e-07, 1.1000000000000064e-07, 2.999999999999802e-08, 2.399999999999977e-07]","[1.9638242894056837, 3.822314049586775, 11.592039800995023, 1.5312131919905825, 1.5715948777648376, 4.218928164196121, 0.6242905788876313, 0.1686340640809332, 1.3392857142857013]",2023-09-11 06:49:28,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-05 22:00:00+00:00,11
MENGO-USDT,ALGO_ADX_28,7,7,0,0.0147,29.1429,2.8630,"[42.0, 15.0, 86.0, 13.0, 6.0, 17.0, 25.0]","[0.005680000000000018, 0.008420000000000039, 0.0048900000000000055, 0.012979999999999992, 0.009179999999999966, 0.00831000000000004, 0.05374000000000001]","[1.2105969862955346, 1.924659413001746, 1.0115427578503176, 2.4635590646826584, 1.7365643266556885, 1.5494192008651466, 10.14498225477611]",2023-09-11 06:22:27,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-07 22:00:00+00:00,9
KDA-BTC,ALGO_ADX_28,8,7,1,0.0000,50.7500,2.8410,"[76.0, 112.0, 5.0, 94.0, 3.0, 17.0, 90.0, 9.0]","[3.000000000000005e-07, -3.9999999999999956e-07, 4.999999999999986e-07, 1.8999999999999987e-06, 1.0000000000000243e-07, 5.00000000000002e-07, 5.00000000000002e-07, 6.00000000000001e-07]","[1.694915254237291, -2.2471910112359526, 2.9585798816567963, 10.795454545454538, 0.529100529100542, 2.873563218390816, 2.808988764044955, 3.3149171270718294]",2023-09-11 06:11:15,0.875,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-05 07:00:00+00:00,12
WOZX-USDT,ALGO_ADX_28,14,13,1,0.0005,24.5714,2.7944,"[2.0, 77.0, 22.0, 1.0, 1.0, 3.0, 10.0, 11.0, 1.0, 1.0, 4.0, 10.0, 196.0, 5.0]","[0.00027699999999999947, 0.0006110000000000004, 0.0001789999999999986, 8.100000000000121e-05, 0.00016499999999999848, 0.0028000000000000004, 0.00018500000000000114, 0.0014959999999999973, 0.0001799999999999996, 0.0007279999999999995, -0.0003259999999999999, 0.0006619999999999994, 0.00018400000000000014, 0.000392]","[1.593327581248199, 3.455100655960193, 1.0894041750349863, 0.48174140597122167, 0.9769672567943541, 15.811169461855556, 0.7632328066339418, 6.372194062273703, 0.794491525423727, 3.2107259416071248, -1.405778352738249, 3.074493776704437, 0.8372389316103205, 2.066747508831128]",2023-09-11 07:04:30,0.9285714285714286,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-08 03:00:00+00:00,9
COFIX-USDT,ALGO_ADX_28,8,7,1,0.0011,18.0000,2.6287,"[1.0, 11.0, 26.0, 11.0, 65.0, 4.0, 23.0, 3.0]","[0.0009380000000000013, 0.005149000000000001, 0.0004159999999999997, -3.400000000000625e-05, 0.0011420000000000041, 0.0002530000000000032, 0.0002489999999999992, 0.0005770000000000011]","[2.2628036571538885, 12.10646352072606, 1.0850852939642124, -0.08964353511918963, 2.883183114948633, 0.635822170842661, 0.6527209814407026, 1.4933485170039886]",2023-09-11 05:40:57,0.875,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-02 12:00:00+00:00,15
SOP-ETH,ALGO_ADX_28,14,12,2,0.0000,32.5000,2.5759,"[122.0, 25.0, 41.0, 2.0, 59.0, 2.0, 63.0, 12.0, 31.0, 20.0, 33.0, 36.0, 1.0, 8.0]","[3.0000000000000103e-10, 1.3e-09, 2.999999999999994e-10, 2.0000000000000014e-10, 0.0, 0.0, 2.0000000000000014e-10, 3.0000000000000103e-10, 2.0000000000000014e-10, 2.999999999999994e-10, 9.999999999999924e-11, 2.0000000000000014e-10, 2.999999999999994e-10, 2.0000000000000014e-10]","[2.857142857142867, 11.926605504587156, 2.941176470588229, 1.9230769230769242, 0.0, 0.0, 1.8181818181818195, 2.727272727272737, 1.8181818181818195, 2.777777777777772, 0.9009009009008941, 1.8018018018018032, 2.7522935779816455, 1.8181818181818195]",2023-09-11 06:49:27,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-07 04:00:00+00:00,10
SUI3S-USDT,ALGO_ADX_28,7,6,1,0.0660,31.7143,2.5733,"[3.0, 1.0, 82.0, 4.0, 7.0, 5.0, 120.0]","[-0.0011499999999999844, 0.08990000000000009, 0.05032000000000014, 0.049269999999999925, 0.08999000000000024, 0.09884000000000004, 0.08475999999999972]","[-0.052941961798921106, 4.188623159032567, 2.2626509707995788, 1.8653340148030335, 3.3118042138191273, 3.5208959689944583, 2.916643726256666]",2023-09-11 06:52:48,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-10 05:00:00+00:00,7
TRB-USDT,ALGO_ADX_28,6,6,0,0.2734,15.0000,2.5521,"[14.0, 29.0, 1.0, 42.0, 1.0, 3.0]","[0.2159000000000013, 0.24249999999999972, 0.29829999999999934, 0.5286000000000008, 0.2735000000000003, 0.08150000000000013]","[1.9237451995473658, 2.124230240278907, 2.490794165045376, 5.354917791982828, 2.645323532256507, 0.7736117702895123]",2023-09-11 06:57:10,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-08-26 08:00:00+00:00,22
SNTR-ETH,ALGO_ADX_28,11,10,1,0.0000,27.1818,2.4391,"[54.0, 2.0, 1.0, 4.0, 16.0, 1.0, 75.0, 1.0, 106.0, 1.0, 38.0]","[1.3000000000000024e-08, 1.2000000000000055e-08, 8.999999999999935e-09, 1.000000000000001e-08, 7.999999999999966e-09, 2.9999999999999925e-08, 7.100000000000004e-08, 5.000000000000005e-08, -1.3000000000000024e-08, 1.0000000000000751e-09, 1.000000000000001e-08]","[1.8413597733711082, 1.7069701280227674, 1.2465373961218744, 1.3736263736263752, 1.0854816824966034, 4.076086956521729, 9.232769830949291, 6.5274151436031405, -1.7663043478260902, 0.13869625520112, 1.3679890560875527]",2023-09-11 06:48:48,0.9090909090909091,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-03 21:00:00+00:00,14
PROS-USDT,ALGO_ADX_28,6,6,0,0.0059,37.3333,2.4297,"[13.0, 44.0, 84.0, 4.0, 69.0, 10.0]","[0.005400000000000016, 0.005300000000000027, 0.009700000000000014, 0.004299999999999998, 0.0063, 0.004600000000000021]","[1.8848167539267076, 1.8505586592178866, 4.204594711746864, 1.8622780424426153, 2.770448548812665, 2.005231037489111]",2023-09-11 06:38:56,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-04 04:00:00+00:00,13
