symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
ECNS,ALGO_ADX_28,7,6,1,0.933,0.3026,3.8571,1.3301,0.7825370675452954,0.8571428571428571,2024-03-12 16:00:00+00:00,5,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-13T17:00:00+00:00, 2024-02-14T15:00:00+00:00, 2024-02-14T19:00:00+00:00, 2024-02-15T16:00:00+00:00, 2024-03-07T17:00:00+00:00, 2024-03-08T20:00:00+00:00, 2024-03-11T17:00:00+00:00, 2024-03-12T17:00:00+00:00]","[2024-02-13T21:00:00+00:00, 2024-02-14T18:00:00+00:00, 2024-02-15T15:00:00+00:00, 2024-02-16T16:00:00+00:00, 2024-03-08T16:00:00+00:00, 2024-03-11T15:00:00+00:00, 2024-03-12T16:00:00+00:00]","[3.0, 3.0, 2.0, 6.0, 6.0, 2.0, 5.0]","[-0.09199999999999875, 0.11999999999999744, 0.14000000000000057, 0.9299999999999997, 0.2699999999999996, 0.5600000000000023, 0.18999999999999773]","[-0.41928721174003625, 0.5509641873278119, 0.6395614435815467, 4.225352112676055, 1.1597938144329878, 2.371876323591708, 0.7825370675452954]",2024-03-12 18:11:16
USPX,ALGO_ADX_28,7,6,1,0.9076,0.3451,10.8571,0.7900,0.6744604316546858,0.8571428571428571,2024-03-12 17:00:00+00:00,5,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-06T18:00:00+00:00, 2024-02-07T19:00:00+00:00, 2024-02-20T18:00:00+00:00, 2024-02-22T20:00:00+00:00, 2024-03-07T15:00:00+00:00, 2024-03-08T19:00:00+00:00, 2024-03-11T17:00:00+00:00, 2024-03-12T18:00:00+00:00]","[2024-02-07T18:00:00+00:00, 2024-02-09T19:00:00+00:00, 2024-02-22T19:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-08T16:00:00+00:00, 2024-03-11T16:00:00+00:00, 2024-03-12T17:00:00+00:00]","[5.0, 12.0, 9.0, 35.0, 7.0, 3.0, 5.0]","[0.4450000000000003, 0.2700000000000031, 1.0750000000000028, 0.30000000000000426, 0.1910000000000025, -0.2849999999999966, 0.4199999999999946]","[1.0305697081982406, 0.618556701030935, 2.476387929048613, 0.6744604316546858, 0.4242653102023646, -0.632981676846189, 0.9387572641931037]",2024-03-12 19:03:21
KAPR,ALGO_ADX_28,13,12,1,1.6342,0.2105,5.2308,0.7196,0.7412398921832846,0.9230769230769231,2024-03-08 16:00:00+00:00,9,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-07T16:00:00+00:00, 2024-02-08T19:00:00+00:00, 2024-02-09T20:00:00+00:00, 2024-02-14T17:00:00+00:00, 2024-02-15T15:00:00+00:00, 2024-02-20T17:00:00+00:00, 2024-02-22T16:00:00+00:00, 2024-02-23T19:00:00+00:00, 2024-02-27T19:00:00+00:00, 2024-02-29T18:00:00+00:00, 2024-03-01T18:00:00+00:00, 2024-03-06T21:00:00+00:00, 2024-03-07T18:00:00+00:00, 2024-03-11T17:00:00+00:00]","[2024-02-08T18:00:00+00:00, 2024-02-09T19:00:00+00:00, 2024-02-12T18:00:00+00:00, 2024-02-14T21:00:00+00:00, 2024-02-15T20:00:00+00:00, 2024-02-21T21:00:00+00:00, 2024-02-23T18:00:00+00:00, 2024-02-27T17:00:00+00:00, 2024-02-29T17:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-04T19:00:00+00:00, 2024-03-07T17:00:00+00:00, 2024-03-08T16:00:00+00:00]","[6.0, 5.0, 3.0, 2.0, 3.0, 9.0, 6.0, 9.0, 8.0, 5.0, 5.0, 2.0, 5.0]","[0.28000000000000114, 0.3099999999999987, 0.41000000000000014, 0.21300000000000097, 0.21999999999999886, -0.05999999999999872, 0.2699999999999996, 0.379999999999999, 0.03300000000000125, 0.21999999999999886, 0.14000000000000057, 0.13100000000000023, 0.18900000000000006]","[0.9834913944503025, 1.0763888888888844, 1.4084507042253527, 0.7352433551950327, 0.7475365273530372, -0.2063983488132051, 0.9271978021978007, 1.2969283276450476, 0.1112609575185477, 0.7412398921832846, 0.46854082998661506, 0.43812709030100416, 0.6272817789578495]",2024-03-12 18:31:13
SPVU,ALGO_ADX_28,7,7,0,1.5086,0.3249,11.7143,0.7096,0.616816361865607,1.0,2024-03-08 15:00:00+00:00,9,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-14T17:00:00+00:00, 2024-02-15T17:00:00+00:00, 2024-02-22T17:00:00+00:00, 2024-02-27T17:00:00+00:00, 2024-03-01T17:00:00+00:00, 2024-03-04T18:00:00+00:00, 2024-03-06T18:00:00+00:00, 2024-03-08T16:00:00+00:00]","[2024-02-15T16:00:00+00:00, 2024-02-22T16:00:00+00:00, 2024-02-27T16:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-04T16:00:00+00:00, 2024-03-06T17:00:00+00:00, 2024-03-08T15:00:00+00:00]","[5.0, 19.0, 15.0, 19.0, 6.0, 11.0, 7.0]","[0.75, 0.4350000000000023, 0.05999999999999517, 0.2850000000000037, 0.2740000000000009, 0.1599999999999966, 0.3100000000000023]","[1.676727028839705, 0.9520682862770897, 0.130067201387373, 0.616816361865607, 0.5897546276366786, 0.3418073061311613, 0.65999574196296]",2024-03-12 18:55:20
LDP,ALGO_ADX_28,9,9,0,1.0091,0.1323,6.3333,0.6870,0.47150259067356226,1.0,2024-02-26 21:00:00+00:00,20,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-24T20:00:00+00:00, 2024-01-25T17:00:00+00:00, 2024-01-29T17:00:00+00:00, 2024-02-14T16:00:00+00:00, 2024-02-15T15:00:00+00:00, 2024-02-20T20:00:00+00:00, 2024-02-21T18:00:00+00:00, 2024-02-22T20:00:00+00:00, 2024-02-23T17:00:00+00:00]","[2024-01-25T16:00:00+00:00, 2024-01-29T16:00:00+00:00, 2024-01-30T18:00:00+00:00, 2024-02-14T21:00:00+00:00, 2024-02-15T21:00:00+00:00, 2024-02-21T16:00:00+00:00, 2024-02-22T16:00:00+00:00, 2024-02-23T16:00:00+00:00, 2024-02-26T21:00:00+00:00]","[3.0, 13.0, 8.0, 5.0, 6.0, 3.0, 5.0, 3.0, 11.0]","[0.07599999999999696, 0.13100000000000023, 0.07000000000000028, 0.045000000000001705, 0.14000000000000057, 0.0940000000000012, 0.053999999999998494, 0.09099999999999753, 0.490000000000002]","[0.4043628624634049, 0.6935253322039294, 0.3668763102725382, 0.23376623376624261, 0.7253886010362723, 0.48654244306418837, 0.27878162106349247, 0.47150259067356226, 2.521873391662388]",2024-03-12 18:33:05
PAVE,ALGO_ADX_28,6,6,0,2.2753,0.2435,5.8333,0.6464,0.5781535859082674,1.0,2024-03-12 15:00:00+00:00,5,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-26T16:00:00+00:00, 2024-02-27T17:00:00+00:00, 2024-02-28T16:00:00+00:00, 2024-02-29T21:00:00+00:00, 2024-03-01T17:00:00+00:00, 2024-03-11T17:00:00+00:00, 2024-03-12T16:00:00+00:00]","[2024-02-27T16:00:00+00:00, 2024-02-28T15:00:00+00:00, 2024-02-29T20:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-04T15:00:00+00:00, 2024-03-12T15:00:00+00:00]","[7.0, 5.0, 11.0, 2.0, 5.0, 5.0]","[0.20299999999999585, 0.14300000000000068, 0.14000000000000057, 0.23000000000000398, 0.45000000000000284, 0.2950000000000017]","[0.5465510742555486, 0.38337801608579275, 0.3728362183755009, 0.6097560975609863, 1.18608328940433, 0.7794953098163607]",2024-03-12 18:43:41
DLY,ALGO_ADX_28,7,7,0,1.8591,0.0974,7.1429,0.6434,0.6464124111182912,1.0,2024-02-27 16:00:00+00:00,19,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-29T15:00:00+00:00, 2024-01-30T17:00:00+00:00, 2024-01-31T17:00:00+00:00, 2024-02-01T17:00:00+00:00, 2024-02-21T18:00:00+00:00, 2024-02-22T17:00:00+00:00, 2024-02-23T17:00:00+00:00]","[2024-01-30T16:00:00+00:00, 2024-01-31T16:00:00+00:00, 2024-02-01T16:00:00+00:00, 2024-02-02T16:00:00+00:00, 2024-02-22T16:00:00+00:00, 2024-02-23T16:00:00+00:00, 2024-02-27T16:00:00+00:00]","[8.0, 6.0, 6.0, 6.0, 5.0, 6.0, 13.0]","[0.034000000000000696, 0.1349999999999998, 0.1919999999999984, 0.10499999999999865, 0.09999999999999964, 0.051000000000000156, 0.0649999999999995]","[0.2299472473961903, 0.9097035040431252, 1.2834224598930375, 0.6882989183874051, 0.6464124111182912, 0.3286082474226814, 0.4172015404364538]",2024-03-12 18:09:14
QDIV,ALGO_ADX_28,6,6,0,3.2582,0.2102,6.8333,0.6361,0.589656171067286,1.0,2024-03-12 17:00:00+00:00,5,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-27T18:00:00+00:00, 2024-03-01T20:00:00+00:00, 2024-03-04T19:00:00+00:00, 2024-03-06T20:00:00+00:00, 2024-03-07T17:00:00+00:00, 2024-03-08T21:00:00+00:00]","[2024-03-01T18:00:00+00:00, 2024-03-04T17:00:00+00:00, 2024-03-06T19:00:00+00:00, 2024-03-07T16:00:00+00:00, 2024-03-08T20:00:00+00:00, 2024-03-12T17:00:00+00:00]","[16.0, 4.0, 11.0, 3.0, 3.0, 4.0]","[0.15399999999999636, 0.14500000000000313, 0.24099999999999966, 0.16599999999999682, 0.22499999999999432, 0.3299999999999983]","[0.47187155288637195, 0.44241037376049774, 0.732545062159943, 0.501601498761095, 0.6777108433734769, 0.9903961584633802]",2024-03-12 18:47:41
FXR,ALGO_ADX_28,20,19,1,1.5652,0.4170,5.6000,0.6345,0.5895142519252917,0.95,2024-02-28 16:00:00+00:00,18,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-01-24T20:00:00+00:00, 2024-01-25T17:00:00+00:00, 2024-01-26T17:00:00+00:00, 2024-01-30T15:00:00+00:00, 2024-02-01T16:00:00+00:00, 2024-02-01T19:00:00+00:00, 2024-02-02T16:00:00+00:00, 2024-02-05T17:00:00+00:00, 2024-02-05T21:00:00+00:00, 2024-02-06T17:00:00+00:00, 2024-02-07T17:00:00+00:00, 2024-02-07T21:00:00+00:00, 2024-02-09T20:00:00+00:00, 2024-02-14T21:00:00+00:00, 2024-02-15T17:00:00+00:00, 2024-02-16T16:00:00+00:00, 2024-02-20T15:00:00+00:00, 2024-02-21T17:00:00+00:00, 2024-02-22T17:00:00+00:00, 2024-02-23T17:00:00+00:00]","[2024-01-25T16:00:00+00:00, 2024-01-26T16:00:00+00:00, 2024-01-29T21:00:00+00:00, 2024-01-30T20:00:00+00:00, 2024-02-01T18:00:00+00:00, 2024-02-01T21:00:00+00:00, 2024-02-02T18:00:00+00:00, 2024-02-05T20:00:00+00:00, 2024-02-06T16:00:00+00:00, 2024-02-07T16:00:00+00:00, 2024-02-07T20:00:00+00:00, 2024-02-09T19:00:00+00:00, 2024-02-12T16:00:00+00:00, 2024-02-15T16:00:00+00:00, 2024-02-16T15:00:00+00:00, 2024-02-16T21:00:00+00:00, 2024-02-21T16:00:00+00:00, 2024-02-22T16:00:00+00:00, 2024-02-23T16:00:00+00:00, 2024-02-28T16:00:00+00:00]","[3.0, 6.0, 11.0, 5.0, 2.0, 2.0, 2.0, 3.0, 2.0, 6.0, 3.0, 12.0, 3.0, 2.0, 5.0, 5.0, 8.0, 6.0, 6.0, 20.0]","[0.3609999999999971, 0.7299999999999898, 0.5, 0.33899999999999864, 0.8490000000000038, 0.34600000000000364, 0.34900000000000375, 0.35999999999999943, 0.29999999999999716, 0.5800000000000125, 0.29699999999999704, 0.46000000000000796, 0.4099999999999966, 0.1979999999999933, 0.17199999999999704, -0.35999999999999943, 0.45000000000000284, 0.9069999999999965, 0.6099999999999994, 0.48100000000000875]","[0.5643358501774252, 1.135479856898413, 0.7707723138584861, 0.5194526593217982, 1.3152594887684026, 0.5295864327915077, 0.5318419408421142, 0.5520625670909362, 0.4592071024031795, 0.8841463414634338, 0.448891374333082, 0.6947590998338741, 0.6146926536731583, 0.297699594045998, 0.2574272244256485, -0.5373134328358201, 0.6798610061942936, 1.362270952237904, 0.903837605571195, 0.7053820208241807]",2024-03-12 18:19:22
ATMP,ALGO_ADX_28,7,6,1,0.8146,0.1364,4.8571,0.6292,0.456204379562034,0.8571428571428571,2024-02-20 18:00:00+00:00,26,ADX_28_P.5_L.5_AV_1H_STOCK_RESULTS,"[2024-02-08T20:00:00+00:00, 2024-02-12T17:00:00+00:00, 2024-02-13T20:00:00+00:00, 2024-02-14T18:00:00+00:00, 2024-02-15T17:00:00+00:00, 2024-02-15T21:00:00+00:00, 2024-02-16T18:00:00+00:00]","[2024-02-12T16:00:00+00:00, 2024-02-13T19:00:00+00:00, 2024-02-14T17:00:00+00:00, 2024-02-15T16:00:00+00:00, 2024-02-15T20:00:00+00:00, 2024-02-16T17:00:00+00:00, 2024-02-20T18:00:00+00:00]","[9.0, 5.0, 3.0, 5.0, 3.0, 2.0, 7.0]","[0.1999999999999993, -0.15499999999999758, 0.0799999999999983, 0.379999999999999, 0.09999999999999787, 0.3000000000000007, 0.04999999999999716]","[0.932835820895519, -0.7154396492037738, 0.3740065451145315, 1.7707362534948694, 0.456204379562034, 1.362397820163491, 0.22371364653242576]",2024-03-12 17:54:42
