symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
LUNG,ALGO_RSI_EMA_ADX_CGPT,6,5,1,0.2100,1.6667,2.0024,"[1.0, 1.0, 3.0, 2.0, 2.0, 1.0]","[0.7399999999999984, 0.120000000000001, 0.1999999999999993, 0.019999999999999574, 0.1899999999999995, -0.009999999999999787]","[7.014218009478658, 1.1571841851494793, 1.9065776930409846, 0.1904761904761864, 1.8410852713178247, -0.0952380952380932]",2023-09-28 20:46:56,0.8333333333333334,RSI_EMA_ADX_CGPT_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-22 19:00:00+00:00,6
NTRS,ALGO_RSI_EMA_ADX_CGPT,17,14,3,0.4015,2.5882,0.5211,"[6.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 4.0, 3.0, 3.0, 4.0, 5.0, 3.0, 1.0, 2.0, 3.0]","[0.8020000000000067, 0.010000000000005116, 0.10899999999999466, -0.22800000000000864, 0.3719999999999999, 0.1490000000000009, 0.722999999999999, 0.8509999999999991, 0.6290000000000049, 0.6560000000000059, 0.8520000000000039, 0.11899999999999977, -0.7080000000000126, 1.034000000000006, -0.01999999999999602, 0.4309999999999974, 1.0450000000000017]","[1.0189302502858681, 0.012616863700027904, 0.13795372854755564, -0.2888891704572921, 0.471793831168831, 0.1884859141566848, 0.9239144324890727, 1.0826145586850866, 0.7913243675066425, 0.8519591163521683, 1.0931205255189809, 0.1511783014673185, -0.8971337337489705, 1.3219125543339376, -0.02641798536443085, 0.5721492101420382, 1.4525993883792074]",2023-09-28 20:52:14,0.8235294117647058,RSI_EMA_ADX_CGPT_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-12 18:00:00+00:00,16
HCCI,ALGO_RSI_EMA_ADX_CGPT,6,5,1,0.1358,5.6667,0.2952,"[8.0, 1.0, 2.0, 10.0, 12.0, 1.0]","[0.030000000000001137, 0.490000000000002, 0.3499999999999943, 0.21999999999999886, -0.28999999999999915, 0.015000000000000568]","[0.06511829824180841, 1.0652173913043521, 0.7573298712539095, 0.4764998917045676, -0.6258767670227672, 0.03319318433281825]",2023-09-28 20:38:14,0.8333333333333334,RSI_EMA_ADX_CGPT_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-13 17:00:00+00:00,15
DVN,ALGO_RSI_EMA_ADX_CGPT,13,11,2,0.1275,3.3077,0.2467,"[1.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 8.0, 2.0, 7.0, 1.0, 1.0, 9.0]","[-0.40800000000000125, 0.18799999999999528, 0.23499999999999943, 0.05000000000000426, 0.3680000000000021, 0.3090000000000046, 0.20400000000000063, -0.5129999999999981, 0.11399999999999721, 0.23899999999999721, 0.17999999999999972, 0.13400000000000034, 0.5579999999999998]","[-0.7627593942793068, 0.3557641359473077, 0.44438561325214526, 0.09612426945556034, 0.706930997387433, 0.5951922336081451, 0.3896475981281647, -1.0309485530546585, 0.2267167830081682, 0.47315489388659565, 0.3424527224991434, 0.26396139072195474, 1.1060236665279177]",2023-09-28 20:29:28,0.8461538461538461,RSI_EMA_ADX_CGPT_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-12 10:00:00+00:00,16
