symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
NVAX,ALGO_EMA_RSI_ADX_BB_CGPT,12,11,1,0.0263,1.0000,0.3229,0.2408188711524748,0.9166666666666666,2023-09-15 17:30:00+00:00,29,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-08-11T13:45:00+00:00, 2023-08-11T14:15:00+00:00, 2023-08-17T22:30:00+00:00, 2023-08-23T20:45:00+00:00, 2023-08-29T11:30:00+00:00, 2023-08-29T12:45:00+00:00, 2023-08-30T22:45:00+00:00, 2023-08-31T15:45:00+00:00, 2023-09-05T12:15:00+00:00, 2023-09-08T18:15:00+00:00, 2023-09-08T18:45:00+00:00, 2023-09-15T17:15:00+00:00]","[2023-08-11T14:00:00+00:00, 2023-08-11T14:30:00+00:00, 2023-08-17T22:45:00+00:00, 2023-08-23T21:00:00+00:00, 2023-08-29T11:45:00+00:00, 2023-08-29T13:00:00+00:00, 2023-08-30T23:00:00+00:00, 2023-08-31T16:00:00+00:00, 2023-09-05T12:30:00+00:00, 2023-09-08T18:30:00+00:00, 2023-09-08T19:00:00+00:00, 2023-09-15T17:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.07000000000000028, 0.034999999999999254, 0.0, 0.08000000000000007, 0.019999999999999574, 0.019999999999999574, 0.02999999999999936, 0.025000000000000355, 0.011000000000001009, 0.009999999999999787, 0.004999999999999005, 0.009999999999999787]","[0.9370816599732301, 0.46760187040747164, 0.0, 0.8958566629339314, 0.24067388688326802, 0.2409638554216816, 0.36144578313252235, 0.30432136335971216, 0.13189448441248214, 0.11055831951354105, 0.05534034311011628, 0.1286173633440487]",2023-10-12 19:23:32
NR,ALGO_RSI9_RSI30_SMA200_2,8,8,0,0.0225,4.6250,0.3593,0.33815353552588473,1.0,2023-09-27 17:50:00+00:00,17,RSI9_RSI30_SMA200B_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-08-16T19:20:00+00:00, 2023-09-01T18:25:00+00:00, 2023-09-11T17:10:00+00:00, 2023-09-12T19:00:00+00:00, 2023-09-21T19:25:00+00:00, 2023-09-22T16:50:00+00:00, 2023-09-22T18:40:00+00:00, 2023-09-27T17:30:00+00:00]","[2023-08-16T19:35:00+00:00, 2023-09-01T18:55:00+00:00, 2023-09-11T17:25:00+00:00, 2023-09-12T19:55:00+00:00, 2023-09-21T19:30:00+00:00, 2023-09-22T17:20:00+00:00, 2023-09-22T18:55:00+00:00, 2023-09-27T17:50:00+00:00]","[3.0, 6.0, 3.0, 11.0, 1.0, 6.0, 3.0, 4.0]","[0.03000000000000025, 0.009999999999999787, 0.009999999999999787, 0.019999999999999574, 0.020000000000000462, 0.03500000000000014, 0.03000000000000025, 0.025000000000000355]","[0.5703422053231987, 0.16339869281045402, 0.16090104585679463, 0.31372549019607177, 0.3132341425215421, 0.5327245053272472, 0.457665903890164, 0.3625815808556977]",2023-10-14 06:26:45
ITT,ALGO_RSI9_RSI30_SMA200_2,7,7,0,0.2204,4.1429,0.2249,0.12332610505329183,1.0,2023-09-25 19:20:00+00:00,18,RSI9_RSI30_SMA200B_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-08-23T19:55:00+00:00, 2023-08-25T19:50:00+00:00, 2023-08-28T18:40:00+00:00, 2023-08-31T18:45:00+00:00, 2023-09-11T19:10:00+00:00, 2023-09-25T17:30:00+00:00, 2023-09-25T19:05:00+00:00]","[2023-08-23T20:05:00+00:00, 2023-08-28T13:40:00+00:00, 2023-08-28T18:55:00+00:00, 2023-08-31T19:10:00+00:00, 2023-09-11T19:20:00+00:00, 2023-09-25T18:05:00+00:00, 2023-09-25T19:20:00+00:00]","[2.0, 7.0, 3.0, 5.0, 2.0, 7.0, 3.0]","[0.12000000000000455, 0.8279999999999887, 0.03499999999999659, 0.060000000000002274, 0.10999999999999943, 0.18000000000000682, 0.21000000000000796]","[0.12332610505329183, 0.8448893378638878, 0.03534889357962751, 0.05863383172090518, 0.10882469331222738, 0.18582563361379945, 0.21718895439032782]",2023-10-14 05:52:50
TECK,ALGO_RSI9_RSI30_SMA200_2,7,7,0,0.0843,3.8571,0.2078,0.20167314012547546,1.0,2023-09-25 19:20:00+00:00,18,RSI9_RSI30_SMA200B_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-08-17T17:30:00+00:00, 2023-08-17T18:20:00+00:00, 2023-08-18T19:10:00+00:00, 2023-08-22T17:50:00+00:00, 2023-08-23T18:40:00+00:00, 2023-09-14T18:30:00+00:00, 2023-09-25T19:10:00+00:00]","[2023-08-17T17:40:00+00:00, 2023-08-17T19:05:00+00:00, 2023-08-18T19:30:00+00:00, 2023-08-22T18:15:00+00:00, 2023-08-23T18:55:00+00:00, 2023-09-14T18:40:00+00:00, 2023-09-25T19:20:00+00:00]","[2.0, 9.0, 4.0, 5.0, 3.0, 2.0, 2.0]","[0.09399999999999409, 0.06499999999999773, 0.03999999999999915, 0.08099999999999596, 0.05999999999999517, 0.14999999999999858, 0.10000000000000142]","[0.2432208652452755, 0.16888380794013128, 0.10278284554307666, 0.20167314012547546, 0.1475180094903134, 0.34466911764705555, 0.24551927326295467]",2023-10-14 07:19:50
AGRO,ALGO_RSI9_RSI30_SMA200_2,6,6,0,0.0183,5.0000,0.1680,0.1499261260221399,1.0,2023-09-28 17:35:00+00:00,16,RSI9_RSI30_SMA200B_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-08-15T17:55:00+00:00, 2023-08-22T15:35:00+00:00, 2023-08-23T19:45:00+00:00, 2023-08-28T18:05:00+00:00, 2023-09-11T18:30:00+00:00, 2023-09-28T16:55:00+00:00]","[2023-08-15T18:05:00+00:00, 2023-08-22T16:30:00+00:00, 2023-08-23T20:10:00+00:00, 2023-08-28T18:15:00+00:00, 2023-09-11T18:40:00+00:00, 2023-09-28T17:35:00+00:00]","[2.0, 11.0, 5.0, 2.0, 2.0, 8.0]","[0.030000000000001137, 0.005000000000000782, 0.009999999999999787, 0.030000000000001137, 0.02000000000000135, 0.015000000000000568]","[0.31039834454217424, 0.04566210045662815, 0.08818342151675297, 0.2638522427440733, 0.1704303365999263, 0.1294219154443535]",2023-10-14 04:13:08
HWM,ALGO_RSI9_RSI30_SMA200_2,6,6,0,0.0675,3.5000,0.1396,0.13961934237670987,1.0,2023-09-28 18:15:00+00:00,16,RSI9_RSI30_SMA200B_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-08-28T18:15:00+00:00, 2023-08-30T17:30:00+00:00, 2023-08-30T18:10:00+00:00, 2023-09-18T19:40:00+00:00, 2023-09-25T19:10:00+00:00, 2023-09-28T17:35:00+00:00]","[2023-08-28T18:35:00+00:00, 2023-08-30T17:45:00+00:00, 2023-08-30T18:15:00+00:00, 2023-09-18T20:00:00+00:00, 2023-09-25T19:15:00+00:00, 2023-09-28T18:15:00+00:00]","[4.0, 3.0, 1.0, 4.0, 1.0, 8.0]","[0.08500000000000085, 0.10499999999999687, 0.07000000000000028, 0.06500000000000483, 0.054999999999999716, 0.02499999999999858]","[0.17478922475838135, 0.2112676056337965, 0.1410437235543024, 0.13819496119911734, 0.1188803631254722, 0.05355039091785066]",2023-10-14 05:42:34
ABEO,ALGO_SMA_KAMA_OBV_MFI_VWAP_CGPT,6,6,0,0.0467,1.1667,1.1679,1.1186412432124708,1.0,2023-09-26 12:10:00+00:00,18,SMA_KAMA_OBV_MFI_VWAP_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-09-05T13:55:00+00:00, 2023-09-07T18:10:00+00:00, 2023-09-07T19:00:00+00:00, 2023-09-18T21:35:00+00:00, 2023-09-19T14:45:00+00:00, 2023-09-26T12:00:00+00:00]","[2023-09-05T14:00:00+00:00, 2023-09-07T18:50:00+00:00, 2023-09-07T19:40:00+00:00, 2023-09-18T21:40:00+00:00, 2023-09-19T14:50:00+00:00, 2023-09-26T12:10:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.11500000000000021, 0.015000000000000124, 0.004999999999999893, 0.06000000000000005, 0.03500000000000014, 0.050000000000000266]","[2.6225769669327303, 0.3787878787878819, 0.12499999999999734, 1.6438356164383578, 0.9283819628647253, 1.3089005235602165]",2023-10-14 17:04:46
COEP,ALGO_SMA_KAMA_OBV_MFI_VWAP_CGPT,7,7,0,0.0099,1.2857,0.9863,0.9345794392523372,1.0,2023-09-26 17:00:00+00:00,18,SMA_KAMA_OBV_MFI_VWAP_P1_L.75_AV_5M_STOCK_RESULTS,"[2023-09-05T14:45:00+00:00, 2023-09-07T19:30:00+00:00, 2023-09-11T14:15:00+00:00, 2023-09-26T14:25:00+00:00, 2023-09-26T14:55:00+00:00, 2023-09-26T15:30:00+00:00, 2023-09-26T16:40:00+00:00]","[2023-09-05T14:50:00+00:00, 2023-09-07T20:00:00+00:00, 2023-09-11T15:00:00+00:00, 2023-09-26T14:35:00+00:00, 2023-09-26T15:10:00+00:00, 2023-09-26T16:00:00+00:00, 2023-09-26T17:00:00+00:00]","[1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.020000000000000018, 0.010000000000000009, 0.010000000000000009, 0.014000000000000012, 0.009000000000000008, 0.0010000000000000009, 0.0050000000000000044]","[2.020202020202022, 0.9345794392523372, 0.9523809523809532, 1.4432989690721663, 0.9278350515463927, 0.10526315789473695, 0.5208333333333338]",2023-10-14 17:46:26
